haplotype,total_quantity,continuous_traits,discrete_traits,samples
H1,5,35;31;65;55;50,A;B,Bupleurum_chinense_EMS1;Bupleurum_chinense_EMS3;Bupleurum_chinense_SMX3;Bupleurum_chinense_SMX5;Bupleurum_chinense_SMX2
H2,1,65,B,Bupleurum_chinense_XMJS1
H3,1,73,B,Bupleurum_chinense_XMJS3
H4,1,80,A,Bupleurum_chinense_BT1
H5,1,80,B,Bupleurum_chinense_ELS1
H6,2,40,B,Bupleurum_chinense_ELS3;Bupleurum_chinense_SDS2
H7,1,45,B,Bupleurum_chinense_SDS1
H8,1,34,B,Bupleurum_chinense_WSY1
H9,1,40,B,Bupleurum_chinense_WSY3
H10,1,80,B,Bupleurum_chinense_DQ1
H11,2,75;73,B,Bupleurum_chinense_DQ3;Bupleurum_chinense_DQ2
H12,1,78,A,Bupleurum_chinense_FHS1
H13,1,35,A,Bupleurum_chinense_FHS3
H14,1,42,A,Bupleurum_chinense_FHS4
H15,1,57,A,Bupleurum_chinense_FHS5
H16,1,130,A,Bupleurum_chinense_MTG1
H17,1,40,A,Bupleurum_chinense_MTG3
H18,1,47,A,Bupleurum_chinense_MTG4
H19,1,58,A,Bupleurum_chinense_MTG5
H20,1,83,A,Bupleurum_chinense_TTZ1
H21,1,84,A,Bupleurum_chinense_TTZ3
H22,1,28,B,Bupleurum_chinense_LH1
H23,1,28,B,Bupleurum_chinense_GZ1
H24,1,50,A,Bupleurum_chinense_CF3
H25,1,78,A,Bupleurum_chinense_CF4
H26,1,101,A,Bupleurum_chinense_CF5
H27,1,76,A,Bupleurum_chinense_ZJK1
H28,1,77,A,Bupleurum_chinense_ZJK3
H29,1,87,A,Bupleurum_chinense_ZJK4
H30,1,75,A,Bupleurum_chinense_ZJK5
H31,1,60,A,Bupleurum_chinense_SMX1
H32,2,60;37,A;B,Bupleurum_chinense_SMX4;Bupleurum_chinense_EMS2
H33,1,100,A,Bupleurum_chinense_TL3
H34,1,55,A,Bupleurum_chinense_CHS1
H35,1,95,A,Bupleurum_chinense_PS3
H36,1,93,A,Bupleurum_chinense_PS4
H37,1,80,A,Bupleurum_chinense_PS5
H38,1,100,B,Bupleurum_chinense_YZ1
H39,1,46,B,Bupleurum_chinense_YZ3
H40,1,120,B,Bupleurum_chinense_YZ4
H41,1,68,B,Bupleurum_chinense_DX1
H42,1,60,B,Bupleurum_chinense_DX3
H43,1,70,B,Bupleurum_chinense_DX4
H44,1,56,B,Bupleurum_chinense_DX5
H45,1,60,B,Bupleurum_chinense_MX1
H46,1,85,A,Bupleurum_chinense_WH1
H47,1,90,A,Bupleurum_chinense_SX2
H48,1,70,A,Bupleurum_chinense_SX3
H49,1,75,A,Bupleurum_chinense_SX4
H50,1,95,A,Bupleurum_chinense_SX5
H51,1,60,B,Bupleurum_chinense_XMJS2
H52,1,68,A,Bupleurum_chinense_BT2
H53,1,25,B,Bupleurum_chinense_ELS2
H54,1,45,B,Bupleurum_chinense_WSY2
H55,1,77,A,Bupleurum_chinense_FHS2
H56,1,86,A,Bupleurum_chinense_MTG2
H57,1,78,A,Bupleurum_chinense_TTZ2
H58,1,36,B,Bupleurum_chinense_LH2
H59,1,105,A,Bupleurum_chinense_CF2
H60,1,70,A,Bupleurum_chinense_ZJK2
H61,1,80,A,Bupleurum_chinense_TL2
H62,1,50,A,Bupleurum_chinense_CHS2
H63,1,68,A,Bupleurum_chinense_PS2
H64,1,90,B,Bupleurum_chinense_YZ2
H65,1,65,B,Bupleurum_chinense_DX2
H66,1,65,B,Bupleurum_chinense_MX2
H67,1,80,A,Bupleurum_chinense_WH2
H68,1,100,A,Bupleurum_chinense_HG3
H69,1,80,A,Bupleurum_chinense_SX1
