sequence_name,haplotype,continuous_traits,discrete_traits
Bupleurum_chinense_EMS1,H1,35,B
Bupleurum_chinense_EMS3,H1,31,B
Bupleurum_chinense_XMJS1,H2,65,B
Bupleurum_chinense_XMJS3,H3,73,B
Bupleurum_chinense_BT1,H4,80,A
Bupleurum_chinense_ELS1,H5,80,B
Bupleurum_chinense_ELS3,H6,40,B
Bupleurum_chinense_SDS1,H7,45,B
Bupleurum_chinense_WSY1,H8,34,B
Bupleurum_chinense_WSY3,H9,40,B
Bupleurum_chinense_DQ1,H10,80,B
Bupleurum_chinense_DQ3,H11,75,B
Bupleurum_chinense_FHS1,H12,78,A
Bupleurum_chinense_FHS3,H13,35,A
Bupleurum_chinense_FHS4,H14,42,A
Bupleurum_chinense_FHS5,H15,57,A
Bupleurum_chinense_MTG1,H16,130,A
Bupleurum_chinense_MTG3,H17,40,A
Bupleurum_chinense_MTG4,H18,47,A
Bupleurum_chinense_MTG5,H19,58,A
Bupleurum_chinense_TTZ1,H20,83,A
Bupleurum_chinense_TTZ3,H21,84,A
Bupleurum_chinense_LH1,H22,28,B
Bupleurum_chinense_GZ1,H23,28,B
Bupleurum_chinense_CF3,H24,50,A
Bupleurum_chinense_CF4,H25,78,A
Bupleurum_chinense_CF5,H26,101,A
Bupleurum_chinense_ZJK1,H27,76,A
Bupleurum_chinense_ZJK3,H28,77,A
Bupleurum_chinense_ZJK4,H29,87,A
Bupleurum_chinense_ZJK5,H30,75,A
Bupleurum_chinense_SMX1,H31,60,A
Bupleurum_chinense_SMX3,H1,65,A
Bupleurum_chinense_SMX4,H32,60,A
Bupleurum_chinense_SMX5,H1,55,A
Bupleurum_chinense_TL3,H33,100,A
Bupleurum_chinense_CHS1,H34,55,A
Bupleurum_chinense_PS3,H35,95,A
Bupleurum_chinense_PS4,H36,93,A
Bupleurum_chinense_PS5,H37,80,A
Bupleurum_chinense_YZ1,H38,100,B
Bupleurum_chinense_YZ3,H39,46,B
Bupleurum_chinense_YZ4,H40,120,B
Bupleurum_chinense_DX1,H41,68,B
Bupleurum_chinense_DX3,H42,60,B
Bupleurum_chinense_DX4,H43,70,B
Bupleurum_chinense_DX5,H44,56,B
Bupleurum_chinense_MX1,H45,60,B
Bupleurum_chinense_WH1,H46,85,A
Bupleurum_chinense_SX2,H47,90,A
Bupleurum_chinense_SX3,H48,70,A
Bupleurum_chinense_SX4,H49,75,A
Bupleurum_chinense_SX5,H50,95,A
Bupleurum_chinense_EMS2,H32,37,B
Bupleurum_chinense_XMJS2,H51,60,B
Bupleurum_chinense_BT2,H52,68,A
Bupleurum_chinense_ELS2,H53,25,B
Bupleurum_chinense_SDS2,H6,40,B
Bupleurum_chinense_WSY2,H54,45,B
Bupleurum_chinense_DQ2,H11,73,B
Bupleurum_chinense_FHS2,H55,77,A
Bupleurum_chinense_MTG2,H56,86,A
Bupleurum_chinense_TTZ2,H57,78,A
Bupleurum_chinense_LH2,H58,36,B
Bupleurum_chinense_CF2,H59,105,A
Bupleurum_chinense_ZJK2,H60,70,A
Bupleurum_chinense_SMX2,H1,50,A
Bupleurum_chinense_TL2,H61,80,A
Bupleurum_chinense_CHS2,H62,50,A
Bupleurum_chinense_PS2,H63,68,A
Bupleurum_chinense_YZ2,H64,90,B
Bupleurum_chinense_DX2,H65,65,B
Bupleurum_chinense_MX2,H66,65,B
Bupleurum_chinense_WH2,H67,80,A
Bupleurum_chinense_HG3,H68,100,A
Bupleurum_chinense_SX1,H69,80,A
