name,quantity,continuous_traits,discrete_traits
Bupleurum_chinense_EMS1,1,35,B
Bupleurum_chinense_EMS3,1,31,B
Bupleurum_chinense_XMJS1,1,65,B
Bupleurum_chinense_XMJS3,1,73,B
Bupleurum_chinense_BT1,1,80,A
Bupleurum_chinense_ELS1,1,80,B
Bupleurum_chinense_ELS3,1,40,B
Bupleurum_chinense_SDS1,1,45,B
Bupleurum_chinense_WSY1,1,34,B
Bupleurum_chinense_WSY3,1,40,B
Bupleurum_chinense_DQ1,1,80,B
Bupleurum_chinense_DQ3,1,75,B
Bupleurum_chinense_FHS1,1,78,A
Bupleurum_chinense_FHS3,1,35,A
Bupleurum_chinense_FHS4,1,42,A
Bupleurum_chinense_FHS5,1,57,A
Bupleurum_chinense_MTG1,1,130,A
Bupleurum_chinense_MTG3,1,40,A
Bupleurum_chinense_MTG4,1,47,A
Bupleurum_chinense_MTG5,1,58,A
Bupleurum_chinense_TTZ1,1,83,A
Bupleurum_chinense_TTZ3,1,84,A
Bupleurum_chinense_LH1,1,28,B
Bupleurum_chinense_GZ1,1,28,B
Bupleurum_chinense_CF3,1,50,A
Bupleurum_chinense_CF4,1,78,A
Bupleurum_chinense_CF5,1,101,A
Bupleurum_chinense_ZJK1,1,76,A
Bupleurum_chinense_ZJK3,1,77,A
Bupleurum_chinense_ZJK4,1,87,A
Bupleurum_chinense_ZJK5,1,75,A
Bupleurum_chinense_SMX1,1,60,A
Bupleurum_chinense_SMX3,1,65,A
Bupleurum_chinense_SMX4,1,60,A
Bupleurum_chinense_SMX5,1,55,A
Bupleurum_chinense_TL3,1,100,A
Bupleurum_chinense_CHS1,1,55,A
Bupleurum_chinense_PS3,1,95,A
Bupleurum_chinense_PS4,1,93,A
Bupleurum_chinense_PS5,1,80,A
Bupleurum_chinense_YZ1,1,100,B
Bupleurum_chinense_YZ3,1,46,B
Bupleurum_chinense_YZ4,1,120,B
Bupleurum_chinense_DX1,1,68,B
Bupleurum_chinense_DX3,1,60,B
Bupleurum_chinense_DX4,1,70,B
Bupleurum_chinense_DX5,1,56,B
Bupleurum_chinense_MX1,1,60,B
Bupleurum_chinense_WH1,1,85,A
Bupleurum_chinense_SX2,1,90,A
Bupleurum_chinense_SX3,1,70,A
Bupleurum_chinense_SX4,1,75,A
Bupleurum_chinense_SX5,1,95,A
Bupleurum_chinense_EMS2,1,37,B
Bupleurum_chinense_XMJS2,1,60,B
Bupleurum_chinense_BT2,1,68,A
Bupleurum_chinense_ELS2,1,25,B
Bupleurum_chinense_SDS2,1,40,B
Bupleurum_chinense_WSY2,1,45,B
Bupleurum_chinense_DQ2,1,73,B
Bupleurum_chinense_FHS2,1,77,A
Bupleurum_chinense_MTG2,1,86,A
Bupleurum_chinense_TTZ2,1,78,A
Bupleurum_chinense_LH2,1,36,B
Bupleurum_chinense_CF2,1,105,A
Bupleurum_chinense_ZJK2,1,70,A
Bupleurum_chinense_SMX2,1,50,A
Bupleurum_chinense_TL2,1,80,A
Bupleurum_chinense_CHS2,1,50,A
Bupleurum_chinense_PS2,1,68,A
Bupleurum_chinense_YZ2,1,90,B
Bupleurum_chinense_DX2,1,65,B
Bupleurum_chinense_MX2,1,65,B
Bupleurum_chinense_WH2,1,80,A
Bupleurum_chinense_HG3,1,100,A
Bupleurum_chinense_SX1,1,80,A
