sample,group,height
Bupleurum_chinense_EMS1,B,35
Bupleurum_chinense_EMS3,B,31
Bupleurum_chinense_XMJS1,B,65
Bupleurum_chinense_XMJS3,B,73
Bupleurum_chinense_BT1,A,80
Bupleurum_chinense_ELS1,B,80
Bupleurum_chinense_ELS3,B,40
Bupleurum_chinense_SDS1,B,45
Bupleurum_chinense_WSY1,B,34
Bupleurum_chinense_WSY3,B,40
Bupleurum_chinense_DQ1,B,80
Bupleurum_chinense_DQ3,B,75
Bupleurum_chinense_FHS1,A,78
Bupleurum_chinense_FHS3,A,35
Bupleurum_chinense_FHS4,A,42
Bupleurum_chinense_FHS5,A,57
Bupleurum_chinense_MTG1,A,130
Bupleurum_chinense_MTG3,A,40
Bupleurum_chinense_MTG4,A,47
Bupleurum_chinense_MTG5,A,58
Bupleurum_chinense_TTZ1,A,83
Bupleurum_chinense_TTZ3,A,84
Bupleurum_chinense_LH1,B,28
Bupleurum_chinense_GZ1,B,28
Bupleurum_chinense_CF3,A,50
Bupleurum_chinense_CF4,A,78
Bupleurum_chinense_CF5,A,101
Bupleurum_chinense_ZJK1,A,76
Bupleurum_chinense_ZJK3,A,77
Bupleurum_chinense_ZJK4,A,87
Bupleurum_chinense_ZJK5,A,75
Bupleurum_chinense_SMX1,A,60
Bupleurum_chinense_SMX3,A,65
Bupleurum_chinense_SMX4,A,60
Bupleurum_chinense_SMX5,A,55
Bupleurum_chinense_TL3,A,100
Bupleurum_chinense_CHS1,A,55
Bupleurum_chinense_PS3,A,95
Bupleurum_chinense_PS4,A,93
Bupleurum_chinense_PS5,A,80
Bupleurum_chinense_YZ1,B,100
Bupleurum_chinense_YZ3,B,46
Bupleurum_chinense_YZ4,B,120
Bupleurum_chinense_DX1,B,68
Bupleurum_chinense_DX3,B,60
Bupleurum_chinense_DX4,B,70
Bupleurum_chinense_DX5,B,56
Bupleurum_chinense_MX1,B,60
Bupleurum_chinense_WH1,A,85
Bupleurum_chinense_SX2,A,90
Bupleurum_chinense_SX3,A,70
Bupleurum_chinense_SX4,A,75
Bupleurum_chinense_SX5,A,95
Bupleurum_chinense_EMS2,B,37
Bupleurum_chinense_XMJS2,B,60
Bupleurum_chinense_BT2,A,68
Bupleurum_chinense_ELS2,B,25
Bupleurum_chinense_SDS2,B,40
Bupleurum_chinense_WSY2,B,45
Bupleurum_chinense_DQ2,B,73
Bupleurum_chinense_FHS2,A,77
Bupleurum_chinense_MTG2,A,86
Bupleurum_chinense_TTZ2,A,78
Bupleurum_chinense_LH2,B,36
Bupleurum_chinense_CF2,A,105
Bupleurum_chinense_ZJK2,A,70
Bupleurum_chinense_SMX2,A,50
Bupleurum_chinense_TL2,A,80
Bupleurum_chinense_CHS2,A,50
Bupleurum_chinense_PS2,A,68
Bupleurum_chinense_YZ2,B,90
Bupleurum_chinense_DX2,B,65
Bupleurum_chinense_MX2,B,65
Bupleurum_chinense_WH2,A,80
Bupleurum_chinense_HG3,A,100
Bupleurum_chinense_SX1,A,80
