ID,Location,Time
Wuhan-Hu-1/2019,China,2019/12/26
DP0005,DP,2020/2/15
DP0027,DP,2020/2/15
DP0037,DP,2020/2/15
DP0058,DP,2020/2/15
DP0059,DP,2020/2/15
DP0065,DP,2020/2/15
DP0077,DP,2020/2/15
DP0078,DP,2020/2/15
DP0104,DP,2020/2/15
DP0107,DP,2020/2/15
DP0121,DP,2020/2/15
DP0133,DP,2020/2/15
DP0134,DP,2020/2/15
DP0152,DP,2020/2/15
DP0158,DP,2020/2/15
DP0184,DP,2020/2/15
DP0190,DP,2020/2/15
DP0191,DP,2020/2/15
DP0196,DP,2020/2/15
DP0200,DP,2020/2/15
DP0236,DP,2020/2/16
DP0274,DP,2020/2/16
DP0278,DP,2020/2/16
DP0286,DP,2020/2/16
DP0287,DP,2020/2/16
DP0289,DP,2020/2/16
DP0290,DP,2020/2/16
DP0294,DP,2020/2/16
DP0311,DP,2020/2/16
DP0319,DP,2020/2/16
DP0328,DP,2020/2/16
DP0344,DP,2020/2/16
DP0346,DP,2020/2/16
DP0357,DP,2020/2/16
DP0361,DP,2020/2/16
DP0438,DP,2020/2/16
DP0457,DP,2020/2/16
DP0462,DP,2020/2/16
DP0464,DP,2020/2/16
DP0476,DP,2020/2/16
DP0481,DP,2020/2/16
DP0482,DP,2020/2/16
DP0543,DP,2020/2/17
DP0544,DP,2020/2/17
DP0568,DP,2020/2/17
DP0588,DP,2020/2/17
DP0644,DP,2020/2/17
DP0645,DP,2020/2/17
DP0654,DP,2020/2/17
DP0687,DP,2020/2/17
DP0690,DP,2020/2/17
DP0697,DP,2020/2/17
DP0699,DP,2020/2/17
DP0700,DP,2020/2/17
DP0703,DP,2020/2/17
DP0724,DP,2020/2/17
DP0743,DP,2020/2/17
DP0752,DP,2020/2/17
DP0763,DP,2020/2/17
DP0764,DP,2020/2/17
DP0765,DP,2020/2/17
DP0779,DP,2020/2/17
DP0785,DP,2020/2/17
DP0786,DP,2020/2/17
DP0802,DP,2020/2/17
DP0803,DP,2020/2/17
DP0804,DP,2020/2/17
DP0827,DP,2020/2/17
DP0880,DP,2020/2/17
DP0890,DP,2020/2/17
Wuhan/IVDC-HB-01/2019,China,2019/12/30
Wuhan/IVDC-HB-04/2020,China,2020/1/1
Wuhan/IVDC-HB-05/2019,China,2019/12/30
Wuhan/IPBCAMS-WH-01/2019,China,2019/12/24
Wuhan/WIV04/2019,China,2019/12/30
Wuhan/WIV02/2019,China,2019/12/30
Wuhan/WIV05/2019,China,2019/12/30
Wuhan/WIV06/2019,China,2019/12/30
Wuhan/WIV07/2019,China,2019/12/30
Wuhan/HBCDC-HB-01/2019,China,2019/12/30
Wuhan/IPBCAMS-WH-05/2020,China,2020/1/1
Wuhan/IPBCAMS-WH-04/2019,China,2019/12/30
Wuhan/IPBCAMS-WH-03/2019,China,2019/12/30
Wuhan/IPBCAMS-WH-02/2019,China,2019/12/30
Guangdong/20SF012/2020,China,2020/1/14
Guangdong/20SF013/2020,China,2020/1/15
Guangdong/20SF014/2020,China,2020/1/15
Guangdong/20SF025/2020,China,2020/1/15
Guangdong/20SF028/2020,China,2020/1/17
Guangdong/20SF040/2020,China,2020/1/18
Thailand/61/2020,other Asia,2020/1/8
Thailand/74/2020,other Asia,2020/1/13
Zhejiang/WZ-01/2020,China,2020/1/16
Zhejiang/WZ-02/2020,China,2020/1/17
USA/WA1/2020,North America,2020/1/19
Shenzhen/HKU-SZ-005/2020,China,2020/1/11
