haplotype,total_quantity,continuous_traits,discrete_traits,samples
H1,61,2;6;15;20;24;30;9;8;27;26;34;46;32;35;31;39;56;55;29;43;47;28;40;42,China;CruiseA;Europe;Japan;North America;other Asia,Wuhan-Hu-1/2019;Wuhan/IVDC-HB-01/2019;Wuhan/WIV04/2019;Wuhan/WIV06/2019;Wuhan/IPBCAMS-WH-04/2019;Thailand/61/2020;Thailand/74/2020;Zhejiang/WZ-02/2020;Guangdong/20SF201/2020;Wuhan/WHU01/2020;Wuhan/WHU02/2020;Wuhan/WH03/2020;Hangzhou/HZ-1/2020;Hangzhou/HZCDC0001/2020;Chongqing/ZX01/2020;Jiangsu/IVDC-JS-001/2020;env/Wuhan/IVDC-HBF13-20/2020;USA/CA6/2020;France/RA739/2020;Japan/NA-20-05-1/2020;Japan/OS-20-07-1/2020;Taiwan/CGMH-CGU-01/2020;Taiwan/4/2020;Jiangsu/JS03/2020;SouthKorea/KCDC12/2020;Wuhan/HBCDC-HB-03/2019;USA/CruiseA-3/2020;USA/CruiseA-9/2020;USA/CruiseA-15/2020;USA/CruiseA-16/2020;USA/CruiseA-19/2020;Hangzhou/ZJU-05/2020;Hangzhou/ZJU-04/2020;Shanghai/SH0073/2020;Shanghai/SH0119/2020;Hangzhou/HZ48/2020;Hangzhou/HZ49/2020;Hangzhou/HZ60/2020;Hangzhou/HZ79/2020;Hangzhou/HZ90/2020;Hangzhou/HZ91/2020;Hangzhou/HZ162/2020;Hangzhou/HZ178/2020;Hangzhou/HZ185/2020;Hangzhou/HZ477/2020;Hangzhou/HZ481/2020;Hangzhou/HZ551/2020;Hangzhou/HZ576/2020;Hangzhou/HZ638/2020;Hangzhou/HZCDC0119/2020;Hangzhou/HZCDC0091L/2020;Hangzhou/HZCDC0090L/2020;Hangzhou/HZCDC0049L/2020;Hangzhou/HZCDC0048L/2020;Hangzhou/HZCDC0048/2020;Korea/KCDC2004/2020;Korea/KCDC2005/2020;Korea/KCDC2007/2020;Guangdong/20SF665/2020;Thailand/SI200433-NT/2020;Thailand/SI200040-NT/2020
H2,6,53;54;55,DP,DP0005;DP0462;DP0464;DP0697;DP0703;DP0764
H3,1,53,DP,DP0027
H4,1,53,DP,DP0037
H5,1,53,DP,DP0058
H6,33,53;54;55;39;25;48,China;CruiseA;DP;other Asia,DP0059;DP0078;DP0104;DP0107;DP0121;DP0133;DP0134;DP0184;DP0274;DP0289;DP0294;DP0319;DP0328;DP0344;DP0346;DP0438;DP0482;DP0568;DP0644;DP0699;DP0700;DP0763;DP0785;DP0786;DP0802;DP0804;DP0827;DP0890;Singapore/3/2020;Chongqing/IVDC-CQ-001/2020;HongKong/VB20026565/2020;Japan/Hu_DP_Kng_19-020/2020;USA/CruiseA-25/2020
H7,1,53,DP,DP0065
H8,2,53;54,DP,DP0077;DP0311
H9,1,53,DP,DP0152
H10,1,53,DP,DP0158
H11,1,53,DP,DP0190
H12,1,53,DP,DP0191
H13,1,53,DP,DP0196
H14,1,53,DP,DP0200
H15,1,54,DP,DP0236
H16,1,54,DP,DP0278
H17,4,54;55;48,DP,DP0286;DP0357;DP0588;Japan/Hu_DP_Kng_19-027/2020
H18,1,54,DP,DP0287
H19,1,54,DP,DP0290
H20,1,54,DP,DP0361
H21,1,54,DP,DP0457
H22,1,54,DP,DP0476
H23,1,54,DP,DP0481
H24,2,55,DP,DP0543;DP0544
H25,1,55,DP,DP0645
H26,1,55,DP,DP0654
H27,1,55,DP,DP0687
H28,1,55,DP,DP0690
H29,1,55,DP,DP0724
H30,1,55,DP,DP0743
H31,1,55,DP,DP0752
H32,1,55,DP,DP0765
H33,1,55,DP,DP0779
H34,1,55,DP,DP0803
H35,1,55,DP,DP0880
H36,1,8,China,Wuhan/IVDC-HB-04/2020
H37,1,6,China,Wuhan/IVDC-HB-05/2019
H38,1,0,China,Wuhan/IPBCAMS-WH-01/2019
H39,1,6,China,Wuhan/WIV02/2019
H40,1,6,China,Wuhan/WIV05/2019
H41,1,6,China,Wuhan/WIV07/2019
H42,1,6,China,Wuhan/HBCDC-HB-01/2019
H43,1,8,China,Wuhan/IPBCAMS-WH-05/2020
H44,1,6,China,Wuhan/IPBCAMS-WH-03/2019
H45,1,6,China,Wuhan/IPBCAMS-WH-02/2019
H46,6,21;22;17;20;45,China,Guangdong/20SF012/2020;Guangdong/20SF013/2020;Guangdong/20SF025/2020;Shenzhen/HKU-SZ-002/2020;Shenzhen/SZTH-002/2020;Shanghai/SH0074/2020
H47,1,22,China,Guangdong/20SF014/2020
H48,16,24;25;29;40;45;39;36;34,China,Guangdong/20SF028/2020;Guangdong/20SF040/2020;Guangdong/20SF174/2020;Shangrao/JX1215/2020;Guangzhou/GZMU0003/2020;Guangzhou/GZMU0010/2020;Guangzhou/GZMU0013/2020;Guangzhou/GZMU0033/2020;Guangzhou/GZMU0034/2020;Guangzhou/GZMU0035/2020;Guangzhou/GZMU0051/2020;Guangzhou/GZMU0052/2020;Guangzhou/GZMU0054/2020;Guangzhou/GZMU0059/2020;Guangzhou/GZMU0036/2020;Guangzhou/GZMU0055/2020
H49,1,23,China,Zhejiang/WZ-01/2020
H50,6,26;32;28;33;27,China;North America,USA/WA1/2020;USA/WA1-A12/2020;USA/WA1-F6/2020;Fujian/8/2020;Hangzhou/ZJU-08/2020;Guangdong/20SF123/2020
H51,1,18,China,Shenzhen/HKU-SZ-005/2020
H52,1,30,other Asia,Taiwan/2/2020
H53,1,30,North America,USA/CA1/2020
