name,quantity,continuous_traits,discrete_traits
Wuhan-Hu-1/2019,1,2,China
DP0005,1,53,DP
DP0027,1,53,DP
DP0037,1,53,DP
DP0058,1,53,DP
DP0059,1,53,DP
DP0065,1,53,DP
DP0077,1,53,DP
DP0078,1,53,DP
DP0104,1,53,DP
DP0107,1,53,DP
DP0121,1,53,DP
DP0133,1,53,DP
DP0134,1,53,DP
DP0152,1,53,DP
DP0158,1,53,DP
DP0184,1,53,DP
DP0190,1,53,DP
DP0191,1,53,DP
DP0196,1,53,DP
DP0200,1,53,DP
DP0236,1,54,DP
DP0274,1,54,DP
DP0278,1,54,DP
DP0286,1,54,DP
DP0287,1,54,DP
DP0289,1,54,DP
DP0290,1,54,DP
DP0294,1,54,DP
DP0311,1,54,DP
DP0319,1,54,DP
DP0328,1,54,DP
DP0344,1,54,DP
DP0346,1,54,DP
DP0357,1,54,DP
DP0361,1,54,DP
DP0438,1,54,DP
DP0457,1,54,DP
DP0462,1,54,DP
DP0464,1,54,DP
DP0476,1,54,DP
DP0481,1,54,DP
DP0482,1,54,DP
DP0543,1,55,DP
DP0544,1,55,DP
DP0568,1,55,DP
DP0588,1,55,DP
DP0644,1,55,DP
DP0645,1,55,DP
DP0654,1,55,DP
DP0687,1,55,DP
DP0690,1,55,DP
DP0697,1,55,DP
DP0699,1,55,DP
DP0700,1,55,DP
DP0703,1,55,DP
DP0724,1,55,DP
DP0743,1,55,DP
DP0752,1,55,DP
DP0763,1,55,DP
DP0764,1,55,DP
DP0765,1,55,DP
DP0779,1,55,DP
DP0785,1,55,DP
DP0786,1,55,DP
DP0802,1,55,DP
DP0803,1,55,DP
DP0804,1,55,DP
DP0827,1,55,DP
DP0880,1,55,DP
DP0890,1,55,DP
Wuhan/IVDC-HB-01/2019,1,6,China
Wuhan/IVDC-HB-04/2020,1,8,China
Wuhan/IVDC-HB-05/2019,1,6,China
Wuhan/IPBCAMS-WH-01/2019,1,0,China
Wuhan/WIV04/2019,1,6,China
Wuhan/WIV02/2019,1,6,China
Wuhan/WIV05/2019,1,6,China
Wuhan/WIV06/2019,1,6,China
Wuhan/WIV07/2019,1,6,China
Wuhan/HBCDC-HB-01/2019,1,6,China
Wuhan/IPBCAMS-WH-05/2020,1,8,China
Wuhan/IPBCAMS-WH-04/2019,1,6,China
Wuhan/IPBCAMS-WH-03/2019,1,6,China
Wuhan/IPBCAMS-WH-02/2019,1,6,China
Guangdong/20SF012/2020,1,21,China
Guangdong/20SF013/2020,1,22,China
Guangdong/20SF014/2020,1,22,China
Guangdong/20SF025/2020,1,22,China
Guangdong/20SF028/2020,1,24,China
Guangdong/20SF040/2020,1,25,China
Thailand/61/2020,1,15,other Asia
Thailand/74/2020,1,20,other Asia
Zhejiang/WZ-01/2020,1,23,China
Zhejiang/WZ-02/2020,1,24,China
USA/WA1/2020,1,26,North America
Shenzhen/HKU-SZ-005/2020,1,18,China
Shenzhen/HKU-SZ-002/2020,1,17,China
Taiwan/2/2020,1,30,other Asia
USA/CA1/2020,1,30,North America
USA/CA2/2020,1,29,North America
USA/AZ1/2020,1,29,North America
Guangdong/20SF174/2020,1,29,China
Guangzhou/20SF206/2020,1,29,China
Foshan/20SF207/2020,1,29,China
Foshan/20SF210/2020,1,29,China
Foshan/20SF211/2020,1,29,China
Guangdong/20SF201/2020,1,30,China
Shenzhen/SZTH-002/2020,1,20,China
Shenzhen/SZTH-003/2020,1,23,China
Shenzhen/SZTH-004/2020,1,23,China
France/IDF0372/2020,1,30,Europe
France/IDF0373/2020,1,30,Europe
Wuhan/WHU01/2020,1,9,China
Wuhan/WHU02/2020,1,9,China
Wuhan/WH01/2019,1,2,China
Wuhan/WH03/2020,1,8,China
Wuhan/WH04/2020,1,12,China
Australia/VIC01/2020,1,32,Oceania
Germany/BavPat1/2020,1,35,Europe
Hangzhou/HZ-1/2020,1,27,China
Singapore/1/2020,1,30,other Asia
England/02/2020,1,36,Europe
Japan/AI-I-004/2020,1,32,Japan
SouthKorea/KCDC03/2020,1,32,other Asia
USA/WA1-A12/2020,1,32,North America
USA/WA1-F6/2020,1,32,North America
Hangzhou/HZCDC0001/2020,1,26,China
Australia/NSW01/2020,1,31,Oceania
Australia/QLD01/2020,1,35,Oceania
Australia/QLD02/2020,1,37,Oceania
Belgium/GHB-03021/2020,1,41,Europe
Singapore/2/2020,1,32,other Asia
Singapore/3/2020,1,39,other Asia
USA/CA3/2020,1,36,North America
USA/CA4/2020,1,36,North America
USA/CA5/2020,1,36,North America
France/IDF0515/2020,1,36,Europe
France/IDF0626/2020,1,36,Europe
Chongqing/YC01/2020,1,28,China
Chongqing/ZX01/2020,1,30,China
Yunnan/IVDC-YN-003/2020,1,24,China
Chongqing/IVDC-CQ-001/2020,1,25,China
Shandong/IVDC-SD-001/2020,1,26,China
Sichuan/IVDC-SC-001/2020,1,22,China
Jiangxi/IVDC-JX-002/2020,1,18,China
Jiangsu/IVDC-JS-001/2020,1,26,China
env/Wuhan/IVDC-HBF13-20/2020,1,8,China
env/Wuhan/IVDC-HBF13-21/2020,1,8,China
Japan/TY-WK-012/2020,1,36,Japan
Japan/TY-WK-501/2020,1,38,Japan
Japan/TY-WK-521/2020,1,38,Japan
Vietnam/VR03-38142/2020,1,31,other Asia
Japan/KY-V-029/2020,1,36,Japan
USA/WI1/2020,1,38,North America
Australia/NSW02/2020,1,29,Oceania
Australia/NSW03/2020,1,32,Oceania
USA/CA6/2020,1,34,North America
USA/IL2/2020,1,35,North America
Taiwan/NTU02/2020,1,43,other Asia
Nepal/61/2020,1,20,other Asia
France/RA739/2020,1,46,Europe
Japan/NA-20-05-1/2020,1,32,Japan
Japan/OS-20-07-1/2020,1,30,Japan
Singapore/4/2020,1,41,other Asia
Singapore/5/2020,1,44,other Asia
Singapore/6/2020,1,47,other Asia
Italy/INMI1-cs/2020,1,36,Europe
Singapore/7/2020,1,34,other Asia
Singapore/8/2020,1,41,other Asia
Singapore/9/2020,1,42,other Asia
Singapore/10/2020,1,42,other Asia
Australia/QLD03/2020,1,43,Oceania
Australia/QLD04/2020,1,43,Oceania
Singapore/11/2020,1,40,other Asia
France/IDF0372-isl/2020,1,30,Europe
France/IDF0515-isl/2020,1,36,Europe
Fujian/8/2020,1,28,China
Fujian/13/2020,1,29,China
France/IDF0571/2020,1,40,Europe
