haplotype,total_quantity,continuous_traits,discrete_traits,samples
H1,1,0,EUh-A,EUA01
H2,1,0,EUh-A,EUA02
H3,1,0,EUh-A,EUA03
H4,1,0,EUh-A,EUA04
H5,1,0,EUh-A,EUA05
H6,1,0,EUh-A,EUA06
H7,1,0,EUh-A,EUA07
H8,1,0,EUh-A,EUA08
H9,1,0,EUh-A,EUA09
H10,1,0,EUh-A,EUA10
H11,1,0,EUh-A,EUA11
H12,1,0,EUh-A,EUA12
H13,1,0,EUh-A,EUA13
H14,1,0,EUh-A,EUA14
H15,1,0,EUh-A,EUA15
H16,1,0,EUh-A,EUA16
H17,1,0,EUh-B,EUB01
H18,1,0,EUh-B,EUB02
H19,1,0,EUh-B,EUB03
H20,1,0,EUh-B,EUB04
H21,1,0,EUh-B,EUB05
H22,1,0,EUh-B,EUB06
H23,1,0,EUh-B,EUB07
H24,1,0,SEEh,SEE01
H25,1,0,SEEh,SEE02
H26,1,0,SEEh,SEE03
H27,1,0,SEEh,SEE04
H28,1,0,SEEh,SEE05
H29,1,0,SEEh,SEE06
H30,1,0,SEEh,SEE07
H31,1,0,SEEh,SEE08
H32,1,0,SEEh,SEE09
H33,1,0,SEEh,SEE10
H34,1,0,SEEh,SEE11
H35,1,0,SEEh,SEE12
H36,1,0,SEEh,SEE13
H37,1,0,SEEh,SEE14
H38,1,0,SEEh,SEE15
H39,1,0,SEEh,SEE16
H40,1,0,AMh,AM01
H41,1,0,AMh,AM02
H42,1,0,AMh,AM03
H43,1,0,AMh,AM04
H44,1,0,AMh,AM05
H45,1,0,AMh,AM06
H46,1,0,AMh,AM07
H47,1,0,AMh,AM08
H48,1,0,AMh,AM09
H49,1,0,AMh,AM10
H50,1,0,AMh,AM11
H51,1,0,AMh,AM12
H52,1,0,AMh,AM13
H53,1,0,AMh,AM14
H54,1,0,AMh,AM15
H55,1,0,AMh,AM16
H56,1,0,AMh,AM17
H57,1,0,AMh,AM18
H58,1,0,AMh,AM19
H59,1,0,AMh,AM20
H60,1,0,AMh,AM21
H61,1,0,AMh,AM22
H62,1,0,AMh,AM23
H63,1,0,AMh,AM24
H64,1,0,AMh,AM25
H65,1,0,AMh,AM26
H66,1,0,AMh,AM27
H67,1,0,AMh,AM28
H68,1,0,AMh,AM29
H69,1,0,INTERh,AM30
