sequence_name,haplotype,continuous_traits,discrete_traits
EUA01,H1,0,EUh-A
EUA02,H2,0,EUh-A
EUA03,H3,0,EUh-A
EUA04,H4,0,EUh-A
EUA05,H5,0,EUh-A
EUA06,H6,0,EUh-A
EUA07,H7,0,EUh-A
EUA08,H8,0,EUh-A
EUA09,H9,0,EUh-A
EUA10,H10,0,EUh-A
EUA11,H11,0,EUh-A
EUA12,H12,0,EUh-A
EUA13,H13,0,EUh-A
EUA14,H14,0,EUh-A
EUA15,H15,0,EUh-A
EUA16,H16,0,EUh-A
EUB01,H17,0,EUh-B
EUB02,H18,0,EUh-B
EUB03,H19,0,EUh-B
EUB04,H20,0,EUh-B
EUB05,H21,0,EUh-B
EUB06,H22,0,EUh-B
EUB07,H23,0,EUh-B
SEE01,H24,0,SEEh
SEE02,H25,0,SEEh
SEE03,H26,0,SEEh
SEE04,H27,0,SEEh
SEE05,H28,0,SEEh
SEE06,H29,0,SEEh
SEE07,H30,0,SEEh
SEE08,H31,0,SEEh
SEE09,H32,0,SEEh
SEE10,H33,0,SEEh
SEE11,H34,0,SEEh
SEE12,H35,0,SEEh
SEE13,H36,0,SEEh
SEE14,H37,0,SEEh
SEE15,H38,0,SEEh
SEE16,H39,0,SEEh
AM01,H40,0,AMh
AM02,H41,0,AMh
AM03,H42,0,AMh
AM04,H43,0,AMh
AM05,H44,0,AMh
AM06,H45,0,AMh
AM07,H46,0,AMh
AM08,H47,0,AMh
AM09,H48,0,AMh
AM10,H49,0,AMh
AM11,H50,0,AMh
AM12,H51,0,AMh
AM13,H52,0,AMh
AM14,H53,0,AMh
AM15,H54,0,AMh
AM16,H55,0,AMh
AM17,H56,0,AMh
AM18,H57,0,AMh
AM19,H58,0,AMh
AM20,H59,0,AMh
AM21,H60,0,AMh
AM22,H61,0,AMh
AM23,H62,0,AMh
AM24,H63,0,AMh
AM25,H64,0,AMh
AM26,H65,0,AMh
AM27,H66,0,AMh
AM28,H67,0,AMh
AM29,H68,0,AMh
AM30,H69,0,INTERh
