name,quantity,continuous_traits,discrete_traits
EUA01,1,0,EUh-A
EUA02,1,0,EUh-A
EUA03,1,0,EUh-A
EUA04,1,0,EUh-A
EUA05,1,0,EUh-A
EUA06,1,0,EUh-A
EUA07,1,0,EUh-A
EUA08,1,0,EUh-A
EUA09,1,0,EUh-A
EUA10,1,0,EUh-A
EUA11,1,0,EUh-A
EUA12,1,0,EUh-A
EUA13,1,0,EUh-A
EUA14,1,0,EUh-A
EUA15,1,0,EUh-A
EUA16,1,0,EUh-A
EUB01,1,0,EUh-B
EUB02,1,0,EUh-B
EUB03,1,0,EUh-B
EUB04,1,0,EUh-B
EUB05,1,0,EUh-B
EUB06,1,0,EUh-B
EUB07,1,0,EUh-B
SEE01,1,0,SEEh
SEE02,1,0,SEEh
SEE03,1,0,SEEh
SEE04,1,0,SEEh
SEE05,1,0,SEEh
SEE06,1,0,SEEh
SEE07,1,0,SEEh
SEE08,1,0,SEEh
SEE09,1,0,SEEh
SEE10,1,0,SEEh
SEE11,1,0,SEEh
SEE12,1,0,SEEh
SEE13,1,0,SEEh
SEE14,1,0,SEEh
SEE15,1,0,SEEh
SEE16,1,0,SEEh
AM01,1,0,AMh
AM02,1,0,AMh
AM03,1,0,AMh
AM04,1,0,AMh
AM05,1,0,AMh
AM06,1,0,AMh
AM07,1,0,AMh
AM08,1,0,AMh
AM09,1,0,AMh
AM10,1,0,AMh
AM11,1,0,AMh
AM12,1,0,AMh
AM13,1,0,AMh
AM14,1,0,AMh
AM15,1,0,AMh
AM16,1,0,AMh
AM17,1,0,AMh
AM18,1,0,AMh
AM19,1,0,AMh
AM20,1,0,AMh
AM21,1,0,AMh
AM22,1,0,AMh
AM23,1,0,AMh
AM24,1,0,AMh
AM25,1,0,AMh
AM26,1,0,AMh
AM27,1,0,AMh
AM28,1,0,AMh
AM29,1,0,AMh
AM30,1,0,INTERh
