accession,haplotype,sampling_locality,haplogroup
DQ469656,EUA01,"Aberdeenshire, Scotland (N-UK)",EUh-A
DQ469661,EUA02,"Offenburg, South-West Germany (SW-D)",EUh-A
DQ469660,EUA03,"Offenburg, South-West Germany (SW-D)",EUh-A
DQ469667,EUA04,Eastern Austria (A),EUh-A
DQ469665,EUA05,"Membrolles, France (F)",EUh-A
DQ469654,EUA06,"Wiltshire, South England (S-UK)",EUh-A
DQ469657,EUA07,"Airport Schipol, The Netherlands (NL)",EUh-A
DQ469655,EUA08,"Niebull, North Germany (N-D)",EUh-A
DQ469663,EUA09,Switzerland (CH),EUh-A
DQ469669,EUA10,Poland (PL),EUh-A
DQ469659,EUA11,"Membrolles, France (F)",EUh-A
DQ469662,EUA12,Switzerland (CH),EUh-A
DQ469664,EUA13,Switzerland (CH),EUh-A
DQ469666,EUA14,Eastern Austria (A),EUh-A
DQ469658,EUA15,Eastern Austria (A),EUh-A
DQ469668,EUA16,Poland (PL),EUh-A
DQ469671,EUB01,Southern Greece (S-GR),EUh-B
DQ469670,EUB02,Crete (Cr-GR),EUh-B
DQ469675,EUB03,Crete (Cr-GR),EUh-B
DQ469672,EUB04,North-Eastern Greece (NE-GR),EUh-B
DQ469676,EUB05,Spilia (Sp-GR),EUh-B
DQ469673,EUB06,Bulgaria (BL),EUh-B
DQ469674,EUB07,Spilia (Sp-GR),EUh-B
DQ469648,SEE01,North-Eastern Greece (NE-GR),SEEh
DQ469683,SEE02,"Western Greece, Vradeto (Vr-GR)",SEEh
DQ469680,SEE03,Elassona (El-GR),SEEh
DQ469651,SEE04,Velestino (Ve-GR),SEEh
DQ469684,SEE05,"Western Greece, Vradeto (Vr-GR)",SEEh
DQ469685,SEE06,"Central Greece, Pyrra (Py-GR)",SEEh
DQ469652,SEE07,"Western Greece, Vradeto (Vr-GR)",SEEh
DQ469650,SEE08,Spilia (Sp-GR),SEEh
DQ469677,SEE09,Velestino (Ve-GR),SEEh
DQ469679,SEE10,Elassona (El-GR),SEEh
DQ469681,SEE11,Velestino (Ve-GR),SEEh
DQ469653,SEE12,"Western Greece, Vradeto (Vr-GR)",SEEh
DQ469649,SEE13,"Western Greece, Vradeto (Vr-GR)",SEEh
DQ469682,SEE14,"Central Greece, Pyrra (Py-GR)",SEEh
DQ469678,SEE15,Southern Greece (S-GR),SEEh
DQ469686,SEE16,Elassona (El-GR),SEEh
DQ469698,AM01,North Israel (N-ISR),AMh
DQ469645,AM02,North Israel (N-ISR),AMh
DQ469646,AM03,North Israel (N-ISR),AMh
DQ469707,AM04,North Israel (N-ISR),AMh
DQ469708,AM05,North Israel (N-ISR),AMh
DQ469706,AM06,North Israel (N-ISR),AMh
DQ469699,AM07,North Israel (N-ISR),AMh
DQ469643,AM08,North Israel (N-ISR),AMh
DQ469647,AM09,North Israel (N-ISR),AMh
DQ469701,AM10,North Israel (N-ISR),AMh
DQ469691,AM11,Turkey (TR),AMh
DQ469697,AM12,Turkey (TR),AMh
DQ469704,AM13,Turkey (TR),AMh
DQ469694,AM14,Turkey (TR),AMh
DQ469709,AM15,Turkey (TR),AMh
DQ469695,AM16,Turkey (TR),AMh
DQ469696,AM17,Turkey (TR),AMh
DQ469693,AM18,Turkey (TR),AMh
DQ469702,AM19,Turkey (TR),AMh
DQ469644,AM20,Turkey (TR),AMh
DQ469705,AM21,Turkey (TR),AMh
DQ469642,AM22,Turkey (TR),AMh
DQ469700,AM23,Turkey (TR),AMh
DQ469703,AM24,Turkey (TR),AMh
DQ469692,AM25,Turkey (TR),AMh
DQ469687,AM26,"Thrace, North-Eastern Greece (NE-GR)",AMh
DQ469690,AM27,"Thrace, North-Eastern Greece (NE-GR)",AMh
DQ469688,AM28,"Thrace, North-Eastern Greece (NE-GR)",AMh
DQ469689,AM29,North-Eastern Greece (NE-GR),AMh
DQ469710,AM30,Bulgaria (BL),INTERh
