haplotype,total_quantity,continuous_traits,discrete_traits,samples
H1,2,4735.5,Cluster_4,001_1;019_1
H2,2,4735.5,Cluster_4,002_2;012_1
H3,4,4735.5,Cluster_4,003_1;013_2;015_2;026_2
H4,1,4735.5,Cluster_4,004_2
H5,2,4735.5,Cluster_4,005_2;024_1
H6,12,4735.5;5200;4560,Cluster_4,006_2;009_2;011_2;014_2;018_1;021_2;022_2;457_2;466_2;468_2;469_1;483_1
H7,1,4735.5,Cluster_4,007_2
H8,6,4735.5;4723.29;4560,Cluster_4,008_1;016_2;025_1;028_1;135_2;495_2
H9,1,4735.5,Cluster_4,010_1
H10,1,4735.5,Cluster_4,017_2
H11,1,4735.5,Cluster_4,020_1
H12,1,4735.5,Cluster_4,023_2
H13,2,4735.5;4723.29,Cluster_4,027_1;136_2
H14,1,4735.5,Cluster_4,029_2
H15,1,4735.5,Cluster_4,030_1
H16,8,4158.2;4600,Cluster_2,031_2;032_1;033_1;035_1;038_2;040_1;042_1;218_1
H17,15,4158.2,Cluster_2,034_2;037_2;039_2;041_2;045_1;046_2;047_2;048_2;050_2;051_1;055_1;057_2;058_2;059_1;060_1
H18,3,4158.2,Cluster_2,043_2;044_1;049_1
H19,1,4158.2,Cluster_2,052_2
H20,1,4158.2,Cluster_2,053_2
H21,1,4158.2,Cluster_2,054_2
H22,3,4447.8;5200,Cluster_4,061_2;065_2;456_1
H23,8,4447.8,Cluster_4,062_2;063_2;066_1;069_1;070_1;071_2;077_1;083_2
H24,1,4447.8,Cluster_4,064_2
H25,4,4447.8,Cluster_4,067_2;068_1;073_1;080_2
H26,1,4447.8,Cluster_4,072_1
H27,1,4447.8,Cluster_4,074_2
H28,1,4447.8,Cluster_4,075_1
H29,1,4447.8,Cluster_4,076_2
H30,1,4447.8,Cluster_4,078_1
H31,1,4447.8,Cluster_4,079_2
H32,1,4447.8,Cluster_4,081_1
H33,1,4447.8,Cluster_4,082_1
H34,8,4447.8;5200,Cluster_4,084_1;454_1;455_1;459_2;462_2;465_1;467_1;478_1
H35,3,4653.1,Cluster_2,085_2;095_1;097_1
H36,10,4653.1,Cluster_2,086_1;087_1;089_1;092_2;096_2;101_2;104_1;109_1;110_1;111_1
H37,1,4653.1,Cluster_2,088_1
H38,8,4653.1,Cluster_2,090_1;091_1;094_2;098_1;100_1;105_1;107_2;108_1
H39,1,4653.1,Cluster_2,093_1
H40,2,4653.1,Cluster_2,099_2;102_1
H41,2,4723.29,Cluster_2,112_2;138_2
H42,3,4723.29,Cluster_4,113_2;123_2;141_2
H43,3,4723.29,Cluster_4,114_1;115_1;127_2
H44,1,4723.29,Cluster_4,118_1
H45,2,4723.29,Cluster_4,119_1;126_2
H46,1,4723.29,Cluster_4,120_2
H47,3,4723.29,Cluster_4,122_1;132_2;134_1
H48,2,4723.29,Cluster_4,124_1;130_1
H49,1,4723.29,Cluster_4,125_1
H50,1,4723.29,Cluster_4,128_2
H51,1,4723.29,Cluster_4,129_1
H52,1,4723.29,Cluster_4,131_1
H53,2,4723.29,Cluster_4,133_1;137_1
H54,1,4723.29,Cluster_2,139_1
H55,1,4980.3,Cluster_2,142_2
H56,12,4980.3,Cluster_2,143_2;145_2;146_1;147_1;152_2;153_1;155_1;156_2;160_2;161_2;164_2;165_2
H57,1,4980.3,Cluster_2,144_2
H58,4,4980.3,Cluster_2,148_2;150_1;151_2;158_1
H59,1,4980.3,Cluster_2,149_2
H60,3,4980.3,Cluster_2,154_1;162_2;163_2
H61,1,4980.3,Cluster_2,157_1
H62,2,4980.3,Cluster_2,159_1;166_2
H63,8,5057.9,Cluster_1,167_2;169_2;170_2;175_2;185_1;187_2;188_1;189_2
H64,4,5057.9,Cluster_1,168_1;173_1;184_1;191_1
H65,2,5057.9,Cluster_3,172_2;176_2
H66,4,5057.9;4138.9,Cluster_3,174_2;259_1;265_1;280_2
H67,1,5057.9,Cluster_3,177_1
H68,1,5057.9,Cluster_3,179_2
H69,1,5057.9,Cluster_3,180_2
H70,1,5057.9,Cluster_3,181_2
H71,3,5057.9,Cluster_3,182_1;194_1;196_2
H72,1,5057.9,Cluster_3,183_2
H73,2,5057.9,Cluster_1,190_1;195_2
H74,1,5057.9,Cluster_1,192_2
H75,1,5057.9,Cluster_1,193_2
H76,18,4600,Cluster_2,197_2;199_1;200_1;201_2;202_1;206_1;207_1;208_1;209_1;210_1;213_1;215_1;220_2;221_1;222_2;224_1;225_1;226_2
H77,3,4600,Cluster_2,198_2;216_2;219_1
H78,1,4600,Cluster_2,203_1
H79,2,4600,Cluster_2,204_1;211_2
H80,3,4600,Cluster_2,205_1;212_1;223_2
H81,1,4600,Cluster_2,214_2
H82,1,4600,Cluster_2,217_2
H83,23,4200;4138.9;4582.2,Cluster_3,227_2;228_1;230_2;231_1;232_2;233_2;236_1;237_1;238_2;242_1;243_1;244_2;245_1;246_1;247_2;249_2;250_2;252_2;253_1;254_2;255_1;264_2;385_2
H84,1,4200,Cluster_3,229_1
H85,1,4200,Cluster_1,235_1
H86,5,4200,Cluster_3,240_1;241_1;248_2;251_2;256_1
H87,6,4138.9,Cluster_3,257_2;260_2;273_2;279_1;282_2;283_1
H88,3,4138.9,Cluster_3,258_1;263_2;271_2
H89,5,4138.9,Cluster_3,261_2;267_1;269_1;270_1;274_1
H90,6,4138.9,Cluster_3,262_1;266_1;268_1;277_6;278_1;281_1
H91,1,4138.9,Cluster_3,272_2
H92,1,4138.9,Cluster_3,276_1
H93,1,4630,Cluster_3,284_2
H94,2,4630,Cluster_1,285_1;309_1
H95,4,4630,Cluster_1,286_2;301_2;302_1;313_2
H96,3,4630,Cluster_3,287_2;289_2;299_2
H97,2,4630,Cluster_1,288_2;307_1
H98,1,4630,Cluster_3,290_2
H99,4,4630,Cluster_1,291_2;292_1;293_2;308_2
H100,2,4630,Cluster_3,294_1;300_2
H101,2,4630;4273,Cluster_3,295_1;348_1
H102,1,4630,Cluster_3,296_2
H103,3,4630,Cluster_3,297_2;305_2;310_2
H104,1,4630,Cluster_3,298_2
H105,1,4630,Cluster_3,303_1
H106,1,4630,Cluster_3,304_2
H107,1,4630,Cluster_1,306_1
H108,2,4630,Cluster_3,311_1;312_1
H109,7,3200,Cluster_3,314_2;318_2;325_2;326_2;327_1;331_2;332_2
H110,2,3200,Cluster_3,315_1;330_1
H111,1,3200,Cluster_3,316_2
H112,1,3200,Cluster_3,317_1
H113,2,3200,Cluster_3,319_1;320_2
H114,1,3200,Cluster_3,321_1
H115,2,3200,Cluster_3,322_2;340_1
H116,4,3200,Cluster_3,323_1;329_2;337_2;342_2
H117,1,3200,Cluster_3,324_2
H118,1,3200,Cluster_3,328_2
H119,1,3200,Cluster_3,334_1
H120,1,3200,Cluster_3,335_2
H121,1,3200,Cluster_3,336_2
H122,1,3200,Cluster_3,338_1
H123,1,3200,Cluster_3,341_1
H124,1,3200,Cluster_3,343_2
H125,1,4273,Cluster_3,344_1
H126,1,4273,Cluster_3,345_2
H127,1,4273,Cluster_3,346_1
H128,2,4273,Cluster_3,347_1;369_2
H129,1,4273,Cluster_3,349_1
H130,5,4273,Cluster_3,350_2;358_2;366_2;372_1;373_1
H131,2,4273,Cluster_3,351_2;355_2
H132,1,4273,Cluster_3,352_2
H133,1,4273,Cluster_3,353_2
H134,1,4273,Cluster_3,354_1
H135,3,4273,Cluster_3,356_1;359_1;360_1
H136,1,4273,Cluster_3,357_2
H137,1,4273,Cluster_3,361_1
H138,1,4273,Cluster_3,363_1
H139,1,4273,Cluster_3,364_2
H140,2,4273,Cluster_3,365_1;371_2
H141,1,4273,Cluster_3,367_2
H142,1,4273,Cluster_3,368_1
H143,1,4273,Cluster_3,370_1
H144,8,4582.2,Cluster_3,374_2;376_1;377_2;378_1;380_2;383_2;384_1;386_1
H145,2,4582.2,Cluster_3,379_2;398_1
H146,1,4582.2,Cluster_3,382_4
H147,11,4582.2,Cluster_1,387_2;388_2;389_2;390_2;391_2;392_2;393_1;395_2;396_1;397_2;399_2
H148,5,4500,Cluster_3,400_2;404_2;405_1;414_2;416_1
H149,1,4500,Cluster_3,401_2
H150,5,4500,Cluster_3,402_1;406_1;410_2;411_1;415_1
H151,2,4500,Cluster_3,403_1;408_1
H152,1,4500,Cluster_3,407_1
H153,1,4500,Cluster_3,409_1
H154,5,4460,Cluster_2,417_1;421_2;423_2;427_2;429_1
H155,3,4460,Cluster_2,418_1;426_2;432_1
H156,4,4460,Cluster_2,419_1;422_1;425_1;428_1
H157,3,4460,Cluster_2,420_2;424_2;431_2
H158,1,4460,Cluster_2,434_1
H159,1,4460,Cluster_2,436_2
H160,14,4700,Cluster_2,437_1;438_2;441_1;442_1;443_1;444_2;445_1;446_1;448_1;449_1;450_1;451_2;452_1;453_1
