sequence_name,haplotype,continuous_traits,discrete_traits
001_1,H1,4735.5,Cluster_4
002_2,H2,4735.5,Cluster_4
003_1,H3,4735.5,Cluster_4
004_2,H4,4735.5,Cluster_4
005_2,H5,4735.5,Cluster_4
006_2,H6,4735.5,Cluster_4
007_2,H7,4735.5,Cluster_4
008_1,H8,4735.5,Cluster_4
009_2,H6,4735.5,Cluster_4
010_1,H9,4735.5,Cluster_4
011_2,H6,4735.5,Cluster_4
012_1,H2,4735.5,Cluster_4
013_2,H3,4735.5,Cluster_4
014_2,H6,4735.5,Cluster_4
015_2,H3,4735.5,Cluster_4
016_2,H8,4735.5,Cluster_4
017_2,H10,4735.5,Cluster_4
018_1,H6,4735.5,Cluster_4
019_1,H1,4735.5,Cluster_4
020_1,H11,4735.5,Cluster_4
021_2,H6,4735.5,Cluster_4
022_2,H6,4735.5,Cluster_4
023_2,H12,4735.5,Cluster_4
024_1,H5,4735.5,Cluster_4
025_1,H8,4735.5,Cluster_4
026_2,H3,4735.5,Cluster_4
027_1,H13,4735.5,Cluster_4
028_1,H8,4735.5,Cluster_4
029_2,H14,4735.5,Cluster_4
030_1,H15,4735.5,Cluster_4
031_2,H16,4158.2,Cluster_2
032_1,H16,4158.2,Cluster_2
033_1,H16,4158.2,Cluster_2
034_2,H17,4158.2,Cluster_2
035_1,H16,4158.2,Cluster_2
037_2,H17,4158.2,Cluster_2
038_2,H16,4158.2,Cluster_2
039_2,H17,4158.2,Cluster_2
040_1,H16,4158.2,Cluster_2
041_2,H17,4158.2,Cluster_2
042_1,H16,4158.2,Cluster_2
043_2,H18,4158.2,Cluster_2
044_1,H18,4158.2,Cluster_2
045_1,H17,4158.2,Cluster_2
046_2,H17,4158.2,Cluster_2
047_2,H17,4158.2,Cluster_2
048_2,H17,4158.2,Cluster_2
049_1,H18,4158.2,Cluster_2
050_2,H17,4158.2,Cluster_2
051_1,H17,4158.2,Cluster_2
052_2,H19,4158.2,Cluster_2
053_2,H20,4158.2,Cluster_2
054_2,H21,4158.2,Cluster_2
055_1,H17,4158.2,Cluster_2
057_2,H17,4158.2,Cluster_2
058_2,H17,4158.2,Cluster_2
059_1,H17,4158.2,Cluster_2
060_1,H17,4158.2,Cluster_2
061_2,H22,4447.8,Cluster_4
062_2,H23,4447.8,Cluster_4
063_2,H23,4447.8,Cluster_4
064_2,H24,4447.8,Cluster_4
065_2,H22,4447.8,Cluster_4
066_1,H23,4447.8,Cluster_4
067_2,H25,4447.8,Cluster_4
068_1,H25,4447.8,Cluster_4
069_1,H23,4447.8,Cluster_4
070_1,H23,4447.8,Cluster_4
071_2,H23,4447.8,Cluster_4
072_1,H26,4447.8,Cluster_4
073_1,H25,4447.8,Cluster_4
074_2,H27,4447.8,Cluster_4
075_1,H28,4447.8,Cluster_4
076_2,H29,4447.8,Cluster_4
077_1,H23,4447.8,Cluster_4
078_1,H30,4447.8,Cluster_4
079_2,H31,4447.8,Cluster_4
080_2,H25,4447.8,Cluster_4
081_1,H32,4447.8,Cluster_4
082_1,H33,4447.8,Cluster_4
083_2,H23,4447.8,Cluster_4
084_1,H34,4447.8,Cluster_4
085_2,H35,4653.1,Cluster_2
086_1,H36,4653.1,Cluster_2
087_1,H36,4653.1,Cluster_2
088_1,H37,4653.1,Cluster_2
089_1,H36,4653.1,Cluster_2
090_1,H38,4653.1,Cluster_2
091_1,H38,4653.1,Cluster_2
092_2,H36,4653.1,Cluster_2
093_1,H39,4653.1,Cluster_2
094_2,H38,4653.1,Cluster_2
095_1,H35,4653.1,Cluster_2
096_2,H36,4653.1,Cluster_2
097_1,H35,4653.1,Cluster_2
098_1,H38,4653.1,Cluster_2
099_2,H40,4653.1,Cluster_2
100_1,H38,4653.1,Cluster_2
101_2,H36,4653.1,Cluster_2
102_1,H40,4653.1,Cluster_2
104_1,H36,4653.1,Cluster_2
105_1,H38,4653.1,Cluster_2
107_2,H38,4653.1,Cluster_2
108_1,H38,4653.1,Cluster_2
109_1,H36,4653.1,Cluster_2
110_1,H36,4653.1,Cluster_2
111_1,H36,4653.1,Cluster_2
112_2,H41,4723.29,Cluster_2
113_2,H42,4723.29,Cluster_4
114_1,H43,4723.29,Cluster_4
115_1,H43,4723.29,Cluster_4
118_1,H44,4723.29,Cluster_4
119_1,H45,4723.29,Cluster_4
120_2,H46,4723.29,Cluster_4
122_1,H47,4723.29,Cluster_4
123_2,H42,4723.29,Cluster_4
124_1,H48,4723.29,Cluster_4
125_1,H49,4723.29,Cluster_4
126_2,H45,4723.29,Cluster_4
127_2,H43,4723.29,Cluster_4
128_2,H50,4723.29,Cluster_4
129_1,H51,4723.29,Cluster_4
130_1,H48,4723.29,Cluster_4
131_1,H52,4723.29,Cluster_4
132_2,H47,4723.29,Cluster_4
133_1,H53,4723.29,Cluster_4
134_1,H47,4723.29,Cluster_4
135_2,H8,4723.29,Cluster_4
136_2,H13,4723.29,Cluster_4
137_1,H53,4723.29,Cluster_4
138_2,H41,4723.29,Cluster_2
139_1,H54,4723.29,Cluster_2
141_2,H42,4723.29,Cluster_4
142_2,H55,4980.3,Cluster_2
143_2,H56,4980.3,Cluster_2
144_2,H57,4980.3,Cluster_2
145_2,H56,4980.3,Cluster_2
146_1,H56,4980.3,Cluster_2
147_1,H56,4980.3,Cluster_2
148_2,H58,4980.3,Cluster_2
149_2,H59,4980.3,Cluster_2
150_1,H58,4980.3,Cluster_2
151_2,H58,4980.3,Cluster_2
152_2,H56,4980.3,Cluster_2
153_1,H56,4980.3,Cluster_2
154_1,H60,4980.3,Cluster_2
155_1,H56,4980.3,Cluster_2
156_2,H56,4980.3,Cluster_2
157_1,H61,4980.3,Cluster_2
158_1,H58,4980.3,Cluster_2
159_1,H62,4980.3,Cluster_2
160_2,H56,4980.3,Cluster_2
161_2,H56,4980.3,Cluster_2
162_2,H60,4980.3,Cluster_2
163_2,H60,4980.3,Cluster_2
164_2,H56,4980.3,Cluster_2
165_2,H56,4980.3,Cluster_2
166_2,H62,4980.3,Cluster_2
167_2,H63,5057.9,Cluster_1
168_1,H64,5057.9,Cluster_1
169_2,H63,5057.9,Cluster_1
170_2,H63,5057.9,Cluster_1
172_2,H65,5057.9,Cluster_3
173_1,H64,5057.9,Cluster_1
174_2,H66,5057.9,Cluster_3
175_2,H63,5057.9,Cluster_1
176_2,H65,5057.9,Cluster_3
177_1,H67,5057.9,Cluster_3
179_2,H68,5057.9,Cluster_3
180_2,H69,5057.9,Cluster_3
181_2,H70,5057.9,Cluster_3
182_1,H71,5057.9,Cluster_3
183_2,H72,5057.9,Cluster_3
184_1,H64,5057.9,Cluster_1
185_1,H63,5057.9,Cluster_1
187_2,H63,5057.9,Cluster_1
188_1,H63,5057.9,Cluster_1
189_2,H63,5057.9,Cluster_1
190_1,H73,5057.9,Cluster_1
191_1,H64,5057.9,Cluster_1
192_2,H74,5057.9,Cluster_1
193_2,H75,5057.9,Cluster_1
194_1,H71,5057.9,Cluster_3
195_2,H73,5057.9,Cluster_1
196_2,H71,5057.9,Cluster_3
197_2,H76,4600,Cluster_2
198_2,H77,4600,Cluster_2
199_1,H76,4600,Cluster_2
200_1,H76,4600,Cluster_2
201_2,H76,4600,Cluster_2
202_1,H76,4600,Cluster_2
203_1,H78,4600,Cluster_2
204_1,H79,4600,Cluster_2
205_1,H80,4600,Cluster_2
206_1,H76,4600,Cluster_2
207_1,H76,4600,Cluster_2
208_1,H76,4600,Cluster_2
209_1,H76,4600,Cluster_2
210_1,H76,4600,Cluster_2
211_2,H79,4600,Cluster_2
212_1,H80,4600,Cluster_2
213_1,H76,4600,Cluster_2
214_2,H81,4600,Cluster_2
215_1,H76,4600,Cluster_2
216_2,H77,4600,Cluster_2
217_2,H82,4600,Cluster_2
218_1,H16,4600,Cluster_2
219_1,H77,4600,Cluster_2
220_2,H76,4600,Cluster_2
221_1,H76,4600,Cluster_2
222_2,H76,4600,Cluster_2
223_2,H80,4600,Cluster_2
224_1,H76,4600,Cluster_2
225_1,H76,4600,Cluster_2
226_2,H76,4600,Cluster_2
227_2,H83,4200,Cluster_3
228_1,H83,4200,Cluster_3
229_1,H84,4200,Cluster_3
230_2,H83,4200,Cluster_3
231_1,H83,4200,Cluster_3
232_2,H83,4200,Cluster_3
233_2,H83,4200,Cluster_3
235_1,H85,4200,Cluster_1
236_1,H83,4200,Cluster_3
237_1,H83,4200,Cluster_3
238_2,H83,4200,Cluster_3
240_1,H86,4200,Cluster_3
241_1,H86,4200,Cluster_3
242_1,H83,4200,Cluster_3
243_1,H83,4200,Cluster_3
244_2,H83,4200,Cluster_3
245_1,H83,4200,Cluster_3
246_1,H83,4200,Cluster_3
247_2,H83,4200,Cluster_3
248_2,H86,4200,Cluster_3
249_2,H83,4200,Cluster_3
250_2,H83,4200,Cluster_3
251_2,H86,4200,Cluster_3
252_2,H83,4200,Cluster_3
253_1,H83,4200,Cluster_3
254_2,H83,4200,Cluster_3
255_1,H83,4200,Cluster_3
256_1,H86,4200,Cluster_3
257_2,H87,4138.9,Cluster_3
258_1,H88,4138.9,Cluster_3
259_1,H66,4138.9,Cluster_3
260_2,H87,4138.9,Cluster_3
261_2,H89,4138.9,Cluster_3
262_1,H90,4138.9,Cluster_3
263_2,H88,4138.9,Cluster_3
264_2,H83,4138.9,Cluster_3
265_1,H66,4138.9,Cluster_3
266_1,H90,4138.9,Cluster_3
267_1,H89,4138.9,Cluster_3
268_1,H90,4138.9,Cluster_3
269_1,H89,4138.9,Cluster_3
270_1,H89,4138.9,Cluster_3
271_2,H88,4138.9,Cluster_3
272_2,H91,4138.9,Cluster_3
273_2,H87,4138.9,Cluster_3
274_1,H89,4138.9,Cluster_3
276_1,H92,4138.9,Cluster_3
277_6,H90,4138.9,Cluster_3
278_1,H90,4138.9,Cluster_3
279_1,H87,4138.9,Cluster_3
280_2,H66,4138.9,Cluster_3
281_1,H90,4138.9,Cluster_3
282_2,H87,4138.9,Cluster_3
283_1,H87,4138.9,Cluster_3
284_2,H93,4630,Cluster_3
285_1,H94,4630,Cluster_1
286_2,H95,4630,Cluster_1
287_2,H96,4630,Cluster_3
288_2,H97,4630,Cluster_1
289_2,H96,4630,Cluster_3
290_2,H98,4630,Cluster_3
291_2,H99,4630,Cluster_1
292_1,H99,4630,Cluster_1
293_2,H99,4630,Cluster_1
294_1,H100,4630,Cluster_3
295_1,H101,4630,Cluster_3
296_2,H102,4630,Cluster_3
297_2,H103,4630,Cluster_3
298_2,H104,4630,Cluster_3
299_2,H96,4630,Cluster_3
300_2,H100,4630,Cluster_3
301_2,H95,4630,Cluster_1
302_1,H95,4630,Cluster_1
303_1,H105,4630,Cluster_3
304_2,H106,4630,Cluster_3
305_2,H103,4630,Cluster_3
306_1,H107,4630,Cluster_1
307_1,H97,4630,Cluster_1
308_2,H99,4630,Cluster_1
309_1,H94,4630,Cluster_1
310_2,H103,4630,Cluster_3
311_1,H108,4630,Cluster_3
312_1,H108,4630,Cluster_3
313_2,H95,4630,Cluster_1
314_2,H109,3200,Cluster_3
315_1,H110,3200,Cluster_3
316_2,H111,3200,Cluster_3
317_1,H112,3200,Cluster_3
318_2,H109,3200,Cluster_3
319_1,H113,3200,Cluster_3
320_2,H113,3200,Cluster_3
321_1,H114,3200,Cluster_3
322_2,H115,3200,Cluster_3
323_1,H116,3200,Cluster_3
324_2,H117,3200,Cluster_3
325_2,H109,3200,Cluster_3
326_2,H109,3200,Cluster_3
327_1,H109,3200,Cluster_3
328_2,H118,3200,Cluster_3
329_2,H116,3200,Cluster_3
330_1,H110,3200,Cluster_3
331_2,H109,3200,Cluster_3
332_2,H109,3200,Cluster_3
334_1,H119,3200,Cluster_3
335_2,H120,3200,Cluster_3
336_2,H121,3200,Cluster_3
337_2,H116,3200,Cluster_3
338_1,H122,3200,Cluster_3
340_1,H115,3200,Cluster_3
341_1,H123,3200,Cluster_3
342_2,H116,3200,Cluster_3
343_2,H124,3200,Cluster_3
344_1,H125,4273,Cluster_3
345_2,H126,4273,Cluster_3
346_1,H127,4273,Cluster_3
347_1,H128,4273,Cluster_3
348_1,H101,4273,Cluster_3
349_1,H129,4273,Cluster_3
350_2,H130,4273,Cluster_3
351_2,H131,4273,Cluster_3
352_2,H132,4273,Cluster_3
353_2,H133,4273,Cluster_3
354_1,H134,4273,Cluster_3
355_2,H131,4273,Cluster_3
356_1,H135,4273,Cluster_3
357_2,H136,4273,Cluster_3
358_2,H130,4273,Cluster_3
359_1,H135,4273,Cluster_3
360_1,H135,4273,Cluster_3
361_1,H137,4273,Cluster_3
363_1,H138,4273,Cluster_3
364_2,H139,4273,Cluster_3
365_1,H140,4273,Cluster_3
366_2,H130,4273,Cluster_3
367_2,H141,4273,Cluster_3
368_1,H142,4273,Cluster_3
369_2,H128,4273,Cluster_3
370_1,H143,4273,Cluster_3
371_2,H140,4273,Cluster_3
372_1,H130,4273,Cluster_3
373_1,H130,4273,Cluster_3
374_2,H144,4582.2,Cluster_3
376_1,H144,4582.2,Cluster_3
377_2,H144,4582.2,Cluster_3
378_1,H144,4582.2,Cluster_3
379_2,H145,4582.2,Cluster_3
380_2,H144,4582.2,Cluster_3
382_4,H146,4582.2,Cluster_3
383_2,H144,4582.2,Cluster_3
384_1,H144,4582.2,Cluster_3
385_2,H83,4582.2,Cluster_3
386_1,H144,4582.2,Cluster_3
387_2,H147,4582.2,Cluster_1
388_2,H147,4582.2,Cluster_1
389_2,H147,4582.2,Cluster_1
390_2,H147,4582.2,Cluster_1
391_2,H147,4582.2,Cluster_1
392_2,H147,4582.2,Cluster_1
393_1,H147,4582.2,Cluster_1
395_2,H147,4582.2,Cluster_1
396_1,H147,4582.2,Cluster_1
397_2,H147,4582.2,Cluster_1
398_1,H145,4582.2,Cluster_3
399_2,H147,4582.2,Cluster_1
400_2,H148,4500,Cluster_3
401_2,H149,4500,Cluster_3
402_1,H150,4500,Cluster_3
403_1,H151,4500,Cluster_3
404_2,H148,4500,Cluster_3
405_1,H148,4500,Cluster_3
406_1,H150,4500,Cluster_3
407_1,H152,4500,Cluster_3
408_1,H151,4500,Cluster_3
409_1,H153,4500,Cluster_3
410_2,H150,4500,Cluster_3
411_1,H150,4500,Cluster_3
414_2,H148,4500,Cluster_3
415_1,H150,4500,Cluster_3
416_1,H148,4500,Cluster_3
417_1,H154,4460,Cluster_2
418_1,H155,4460,Cluster_2
419_1,H156,4460,Cluster_2
420_2,H157,4460,Cluster_2
421_2,H154,4460,Cluster_2
422_1,H156,4460,Cluster_2
423_2,H154,4460,Cluster_2
424_2,H157,4460,Cluster_2
425_1,H156,4460,Cluster_2
426_2,H155,4460,Cluster_2
427_2,H154,4460,Cluster_2
428_1,H156,4460,Cluster_2
429_1,H154,4460,Cluster_2
431_2,H157,4460,Cluster_2
432_1,H155,4460,Cluster_2
434_1,H158,4460,Cluster_2
436_2,H159,4460,Cluster_2
437_1,H160,4700,Cluster_2
438_2,H160,4700,Cluster_2
439_1,H161,4700,Cluster_2
440_1,H161,4700,Cluster_2
441_1,H160,4700,Cluster_2
442_1,H160,4700,Cluster_2
443_1,H160,4700,Cluster_2
444_2,H160,4700,Cluster_2
445_1,H160,4700,Cluster_2
446_1,H160,4700,Cluster_2
448_1,H160,4700,Cluster_2
449_1,H160,4700,Cluster_2
450_1,H160,4700,Cluster_2
451_2,H160,4700,Cluster_2
452_1,H160,4700,Cluster_2
453_1,H160,4700,Cluster_2
454_1,H34,5200,Cluster_4
455_1,H34,5200,Cluster_4
456_1,H22,5200,Cluster_4
457_2,H6,5200,Cluster_4
458_2,H162,5200,Cluster_4
459_2,H34,5200,Cluster_4
460_1,H163,5200,Cluster_4
461_1,H164,5200,Cluster_4
462_2,H34,5200,Cluster_4
464_2,H165,5200,Cluster_4
465_1,H34,5200,Cluster_4
466_2,H6,5200,Cluster_4
467_1,H34,5200,Cluster_4
468_2,H6,5200,Cluster_4
469_1,H6,5200,Cluster_4
470_1,H165,5200,Cluster_4
471_1,H166,5200,Cluster_4
472_2,H164,5200,Cluster_4
473_2,H167,5200,Cluster_4
474_2,H163,5200,Cluster_4
475_1,H162,5200,Cluster_4
478_1,H34,5200,Cluster_4
479_1,H163,5200,Cluster_4
480_2,H168,4560,Cluster_4
482_2,H169,4560,Cluster_4
483_1,H6,4560,Cluster_4
484_2,H170,4560,Cluster_4
485_2,H171,4560,Cluster_4
486_2,H172,4560,Cluster_4
487_2,H173,4560,Cluster_4
488_1,H174,4560,Cluster_2
489_2,H172,4560,Cluster_4
490_2,H172,4560,Cluster_4
491_2,H175,4560,Cluster_4
492_1,H176,4560,Cluster_4
493_2,H177,4560,Cluster_4
495_2,H8,4560,Cluster_4
497_2,H178,4560,Cluster_4
498_2,H165,4560,Cluster_4
499_1,H165,4560,Cluster_4
500_1,H165,4560,Cluster_4
