name,quantity,continuous_traits,discrete_traits
001_1,1,4735.5,Cluster_4
002_2,1,4735.5,Cluster_4
003_1,1,4735.5,Cluster_4
004_2,1,4735.5,Cluster_4
005_2,1,4735.5,Cluster_4
006_2,1,4735.5,Cluster_4
007_2,1,4735.5,Cluster_4
008_1,1,4735.5,Cluster_4
009_2,1,4735.5,Cluster_4
010_1,1,4735.5,Cluster_4
011_2,1,4735.5,Cluster_4
012_1,1,4735.5,Cluster_4
013_2,1,4735.5,Cluster_4
014_2,1,4735.5,Cluster_4
015_2,1,4735.5,Cluster_4
016_2,1,4735.5,Cluster_4
017_2,1,4735.5,Cluster_4
018_1,1,4735.5,Cluster_4
019_1,1,4735.5,Cluster_4
020_1,1,4735.5,Cluster_4
021_2,1,4735.5,Cluster_4
022_2,1,4735.5,Cluster_4
023_2,1,4735.5,Cluster_4
024_1,1,4735.5,Cluster_4
025_1,1,4735.5,Cluster_4
026_2,1,4735.5,Cluster_4
027_1,1,4735.5,Cluster_4
028_1,1,4735.5,Cluster_4
029_2,1,4735.5,Cluster_4
030_1,1,4735.5,Cluster_4
031_2,1,4158.2,Cluster_2
032_1,1,4158.2,Cluster_2
033_1,1,4158.2,Cluster_2
034_2,1,4158.2,Cluster_2
035_1,1,4158.2,Cluster_2
037_2,1,4158.2,Cluster_2
038_2,1,4158.2,Cluster_2
039_2,1,4158.2,Cluster_2
040_1,1,4158.2,Cluster_2
041_2,1,4158.2,Cluster_2
042_1,1,4158.2,Cluster_2
043_2,1,4158.2,Cluster_2
044_1,1,4158.2,Cluster_2
045_1,1,4158.2,Cluster_2
046_2,1,4158.2,Cluster_2
047_2,1,4158.2,Cluster_2
048_2,1,4158.2,Cluster_2
049_1,1,4158.2,Cluster_2
050_2,1,4158.2,Cluster_2
051_1,1,4158.2,Cluster_2
052_2,1,4158.2,Cluster_2
053_2,1,4158.2,Cluster_2
054_2,1,4158.2,Cluster_2
055_1,1,4158.2,Cluster_2
057_2,1,4158.2,Cluster_2
058_2,1,4158.2,Cluster_2
059_1,1,4158.2,Cluster_2
060_1,1,4158.2,Cluster_2
061_2,1,4447.8,Cluster_4
062_2,1,4447.8,Cluster_4
063_2,1,4447.8,Cluster_4
064_2,1,4447.8,Cluster_4
065_2,1,4447.8,Cluster_4
066_1,1,4447.8,Cluster_4
067_2,1,4447.8,Cluster_4
068_1,1,4447.8,Cluster_4
069_1,1,4447.8,Cluster_4
070_1,1,4447.8,Cluster_4
071_2,1,4447.8,Cluster_4
072_1,1,4447.8,Cluster_4
073_1,1,4447.8,Cluster_4
074_2,1,4447.8,Cluster_4
075_1,1,4447.8,Cluster_4
076_2,1,4447.8,Cluster_4
077_1,1,4447.8,Cluster_4
078_1,1,4447.8,Cluster_4
079_2,1,4447.8,Cluster_4
080_2,1,4447.8,Cluster_4
081_1,1,4447.8,Cluster_4
082_1,1,4447.8,Cluster_4
083_2,1,4447.8,Cluster_4
084_1,1,4447.8,Cluster_4
085_2,1,4653.1,Cluster_2
086_1,1,4653.1,Cluster_2
087_1,1,4653.1,Cluster_2
088_1,1,4653.1,Cluster_2
089_1,1,4653.1,Cluster_2
090_1,1,4653.1,Cluster_2
091_1,1,4653.1,Cluster_2
092_2,1,4653.1,Cluster_2
093_1,1,4653.1,Cluster_2
094_2,1,4653.1,Cluster_2
095_1,1,4653.1,Cluster_2
096_2,1,4653.1,Cluster_2
097_1,1,4653.1,Cluster_2
098_1,1,4653.1,Cluster_2
099_2,1,4653.1,Cluster_2
100_1,1,4653.1,Cluster_2
101_2,1,4653.1,Cluster_2
102_1,1,4653.1,Cluster_2
104_1,1,4653.1,Cluster_2
105_1,1,4653.1,Cluster_2
107_2,1,4653.1,Cluster_2
108_1,1,4653.1,Cluster_2
109_1,1,4653.1,Cluster_2
110_1,1,4653.1,Cluster_2
111_1,1,4653.1,Cluster_2
112_2,1,4723.29,Cluster_2
113_2,1,4723.29,Cluster_4
114_1,1,4723.29,Cluster_4
115_1,1,4723.29,Cluster_4
118_1,1,4723.29,Cluster_4
119_1,1,4723.29,Cluster_4
120_2,1,4723.29,Cluster_4
122_1,1,4723.29,Cluster_4
123_2,1,4723.29,Cluster_4
124_1,1,4723.29,Cluster_4
125_1,1,4723.29,Cluster_4
126_2,1,4723.29,Cluster_4
127_2,1,4723.29,Cluster_4
128_2,1,4723.29,Cluster_4
129_1,1,4723.29,Cluster_4
130_1,1,4723.29,Cluster_4
131_1,1,4723.29,Cluster_4
132_2,1,4723.29,Cluster_4
133_1,1,4723.29,Cluster_4
134_1,1,4723.29,Cluster_4
135_2,1,4723.29,Cluster_4
136_2,1,4723.29,Cluster_4
137_1,1,4723.29,Cluster_4
138_2,1,4723.29,Cluster_2
139_1,1,4723.29,Cluster_2
141_2,1,4723.29,Cluster_4
142_2,1,4980.3,Cluster_2
143_2,1,4980.3,Cluster_2
144_2,1,4980.3,Cluster_2
145_2,1,4980.3,Cluster_2
146_1,1,4980.3,Cluster_2
147_1,1,4980.3,Cluster_2
148_2,1,4980.3,Cluster_2
149_2,1,4980.3,Cluster_2
150_1,1,4980.3,Cluster_2
151_2,1,4980.3,Cluster_2
152_2,1,4980.3,Cluster_2
153_1,1,4980.3,Cluster_2
154_1,1,4980.3,Cluster_2
155_1,1,4980.3,Cluster_2
156_2,1,4980.3,Cluster_2
157_1,1,4980.3,Cluster_2
158_1,1,4980.3,Cluster_2
159_1,1,4980.3,Cluster_2
160_2,1,4980.3,Cluster_2
161_2,1,4980.3,Cluster_2
162_2,1,4980.3,Cluster_2
163_2,1,4980.3,Cluster_2
164_2,1,4980.3,Cluster_2
165_2,1,4980.3,Cluster_2
166_2,1,4980.3,Cluster_2
167_2,1,5057.9,Cluster_1
168_1,1,5057.9,Cluster_1
169_2,1,5057.9,Cluster_1
170_2,1,5057.9,Cluster_1
172_2,1,5057.9,Cluster_3
173_1,1,5057.9,Cluster_1
174_2,1,5057.9,Cluster_3
175_2,1,5057.9,Cluster_1
176_2,1,5057.9,Cluster_3
177_1,1,5057.9,Cluster_3
179_2,1,5057.9,Cluster_3
180_2,1,5057.9,Cluster_3
181_2,1,5057.9,Cluster_3
182_1,1,5057.9,Cluster_3
183_2,1,5057.9,Cluster_3
184_1,1,5057.9,Cluster_1
185_1,1,5057.9,Cluster_1
187_2,1,5057.9,Cluster_1
188_1,1,5057.9,Cluster_1
189_2,1,5057.9,Cluster_1
190_1,1,5057.9,Cluster_1
191_1,1,5057.9,Cluster_1
192_2,1,5057.9,Cluster_1
193_2,1,5057.9,Cluster_1
194_1,1,5057.9,Cluster_3
195_2,1,5057.9,Cluster_1
196_2,1,5057.9,Cluster_3
197_2,1,4600,Cluster_2
198_2,1,4600,Cluster_2
199_1,1,4600,Cluster_2
200_1,1,4600,Cluster_2
201_2,1,4600,Cluster_2
202_1,1,4600,Cluster_2
203_1,1,4600,Cluster_2
204_1,1,4600,Cluster_2
205_1,1,4600,Cluster_2
206_1,1,4600,Cluster_2
207_1,1,4600,Cluster_2
208_1,1,4600,Cluster_2
209_1,1,4600,Cluster_2
210_1,1,4600,Cluster_2
211_2,1,4600,Cluster_2
212_1,1,4600,Cluster_2
213_1,1,4600,Cluster_2
214_2,1,4600,Cluster_2
215_1,1,4600,Cluster_2
216_2,1,4600,Cluster_2
217_2,1,4600,Cluster_2
218_1,1,4600,Cluster_2
219_1,1,4600,Cluster_2
220_2,1,4600,Cluster_2
221_1,1,4600,Cluster_2
222_2,1,4600,Cluster_2
223_2,1,4600,Cluster_2
224_1,1,4600,Cluster_2
225_1,1,4600,Cluster_2
226_2,1,4600,Cluster_2
227_2,1,4200,Cluster_3
228_1,1,4200,Cluster_3
229_1,1,4200,Cluster_3
230_2,1,4200,Cluster_3
231_1,1,4200,Cluster_3
232_2,1,4200,Cluster_3
233_2,1,4200,Cluster_3
235_1,1,4200,Cluster_1
236_1,1,4200,Cluster_3
237_1,1,4200,Cluster_3
238_2,1,4200,Cluster_3
240_1,1,4200,Cluster_3
241_1,1,4200,Cluster_3
242_1,1,4200,Cluster_3
243_1,1,4200,Cluster_3
244_2,1,4200,Cluster_3
245_1,1,4200,Cluster_3
246_1,1,4200,Cluster_3
247_2,1,4200,Cluster_3
248_2,1,4200,Cluster_3
249_2,1,4200,Cluster_3
250_2,1,4200,Cluster_3
251_2,1,4200,Cluster_3
252_2,1,4200,Cluster_3
253_1,1,4200,Cluster_3
254_2,1,4200,Cluster_3
255_1,1,4200,Cluster_3
256_1,1,4200,Cluster_3
257_2,1,4138.9,Cluster_3
258_1,1,4138.9,Cluster_3
259_1,1,4138.9,Cluster_3
260_2,1,4138.9,Cluster_3
261_2,1,4138.9,Cluster_3
262_1,1,4138.9,Cluster_3
263_2,1,4138.9,Cluster_3
264_2,1,4138.9,Cluster_3
265_1,1,4138.9,Cluster_3
266_1,1,4138.9,Cluster_3
267_1,1,4138.9,Cluster_3
268_1,1,4138.9,Cluster_3
269_1,1,4138.9,Cluster_3
270_1,1,4138.9,Cluster_3
271_2,1,4138.9,Cluster_3
272_2,1,4138.9,Cluster_3
273_2,1,4138.9,Cluster_3
274_1,1,4138.9,Cluster_3
276_1,1,4138.9,Cluster_3
277_6,1,4138.9,Cluster_3
278_1,1,4138.9,Cluster_3
279_1,1,4138.9,Cluster_3
280_2,1,4138.9,Cluster_3
281_1,1,4138.9,Cluster_3
282_2,1,4138.9,Cluster_3
283_1,1,4138.9,Cluster_3
284_2,1,4630,Cluster_3
285_1,1,4630,Cluster_1
286_2,1,4630,Cluster_1
287_2,1,4630,Cluster_3
288_2,1,4630,Cluster_1
289_2,1,4630,Cluster_3
290_2,1,4630,Cluster_3
291_2,1,4630,Cluster_1
292_1,1,4630,Cluster_1
293_2,1,4630,Cluster_1
294_1,1,4630,Cluster_3
295_1,1,4630,Cluster_3
296_2,1,4630,Cluster_3
297_2,1,4630,Cluster_3
298_2,1,4630,Cluster_3
299_2,1,4630,Cluster_3
300_2,1,4630,Cluster_3
301_2,1,4630,Cluster_1
302_1,1,4630,Cluster_1
303_1,1,4630,Cluster_3
304_2,1,4630,Cluster_3
305_2,1,4630,Cluster_3
306_1,1,4630,Cluster_1
307_1,1,4630,Cluster_1
308_2,1,4630,Cluster_1
309_1,1,4630,Cluster_1
310_2,1,4630,Cluster_3
311_1,1,4630,Cluster_3
312_1,1,4630,Cluster_3
313_2,1,4630,Cluster_1
314_2,1,3200,Cluster_3
315_1,1,3200,Cluster_3
316_2,1,3200,Cluster_3
317_1,1,3200,Cluster_3
318_2,1,3200,Cluster_3
319_1,1,3200,Cluster_3
320_2,1,3200,Cluster_3
321_1,1,3200,Cluster_3
322_2,1,3200,Cluster_3
323_1,1,3200,Cluster_3
324_2,1,3200,Cluster_3
325_2,1,3200,Cluster_3
326_2,1,3200,Cluster_3
327_1,1,3200,Cluster_3
328_2,1,3200,Cluster_3
329_2,1,3200,Cluster_3
330_1,1,3200,Cluster_3
331_2,1,3200,Cluster_3
332_2,1,3200,Cluster_3
334_1,1,3200,Cluster_3
335_2,1,3200,Cluster_3
336_2,1,3200,Cluster_3
337_2,1,3200,Cluster_3
338_1,1,3200,Cluster_3
340_1,1,3200,Cluster_3
341_1,1,3200,Cluster_3
342_2,1,3200,Cluster_3
343_2,1,3200,Cluster_3
344_1,1,4273,Cluster_3
345_2,1,4273,Cluster_3
346_1,1,4273,Cluster_3
347_1,1,4273,Cluster_3
348_1,1,4273,Cluster_3
349_1,1,4273,Cluster_3
350_2,1,4273,Cluster_3
351_2,1,4273,Cluster_3
352_2,1,4273,Cluster_3
353_2,1,4273,Cluster_3
354_1,1,4273,Cluster_3
355_2,1,4273,Cluster_3
356_1,1,4273,Cluster_3
357_2,1,4273,Cluster_3
358_2,1,4273,Cluster_3
359_1,1,4273,Cluster_3
360_1,1,4273,Cluster_3
361_1,1,4273,Cluster_3
363_1,1,4273,Cluster_3
364_2,1,4273,Cluster_3
365_1,1,4273,Cluster_3
366_2,1,4273,Cluster_3
367_2,1,4273,Cluster_3
368_1,1,4273,Cluster_3
369_2,1,4273,Cluster_3
370_1,1,4273,Cluster_3
371_2,1,4273,Cluster_3
372_1,1,4273,Cluster_3
373_1,1,4273,Cluster_3
374_2,1,4582.2,Cluster_3
376_1,1,4582.2,Cluster_3
377_2,1,4582.2,Cluster_3
378_1,1,4582.2,Cluster_3
379_2,1,4582.2,Cluster_3
380_2,1,4582.2,Cluster_3
382_4,1,4582.2,Cluster_3
383_2,1,4582.2,Cluster_3
384_1,1,4582.2,Cluster_3
385_2,1,4582.2,Cluster_3
386_1,1,4582.2,Cluster_3
387_2,1,4582.2,Cluster_1
388_2,1,4582.2,Cluster_1
389_2,1,4582.2,Cluster_1
390_2,1,4582.2,Cluster_1
391_2,1,4582.2,Cluster_1
392_2,1,4582.2,Cluster_1
393_1,1,4582.2,Cluster_1
395_2,1,4582.2,Cluster_1
396_1,1,4582.2,Cluster_1
397_2,1,4582.2,Cluster_1
398_1,1,4582.2,Cluster_3
399_2,1,4582.2,Cluster_1
400_2,1,4500,Cluster_3
401_2,1,4500,Cluster_3
402_1,1,4500,Cluster_3
403_1,1,4500,Cluster_3
404_2,1,4500,Cluster_3
405_1,1,4500,Cluster_3
406_1,1,4500,Cluster_3
407_1,1,4500,Cluster_3
408_1,1,4500,Cluster_3
409_1,1,4500,Cluster_3
410_2,1,4500,Cluster_3
411_1,1,4500,Cluster_3
414_2,1,4500,Cluster_3
415_1,1,4500,Cluster_3
416_1,1,4500,Cluster_3
417_1,1,4460,Cluster_2
418_1,1,4460,Cluster_2
419_1,1,4460,Cluster_2
420_2,1,4460,Cluster_2
421_2,1,4460,Cluster_2
422_1,1,4460,Cluster_2
423_2,1,4460,Cluster_2
