sample,group
S1a,S1
S1b1,S1
S1b2a,S1
S1b2b,S1
S1b2c,S1
S1b2d1,S1
S1b2d2,S1
S1b2e1,S1
S1b2e2,S1
S1b2f,S1
S1b2g,S1
S1b2h,S1
S1b3a,S1
S1b3b,S1
S2,S2
S3,S3
S4,S4
S5a,S5
S5b,S5
S5c,S5
S5d1,S5
S5d2,S5
S6a,S6
S6b1,S6
S6b2a,S6
S6b2b,S6
S6b2c,S6
S6b3a,S6
S6b3b,S6
S7,S7
S8a,S8
S8b,S8
S9a,S9
S9b,S9
S10a,S10
S10b1,S10
S10b2,S10
L1a,L1a
L1b1,L1b
L1b2,L1b
L1c,L1c
L1d,L1d
L1e,L1e
L1f1,L1f
L1f2,L1f
L1g1,L1g
L1g2a,L1g
L1g2b,L1g
L1g2c,L1g
L1g3,L1g
L1h1,L1h
L1h2a,L1h
L1h2b1,L1h
L1h2b2,L1h
L1h2b3,L1h
L1i1,L1i
L1i2a,L1i
L1i2b,L1i
L1j1,L1j
L1j2a,L1j
L1j2b,L1j
L1j2c,L1j
L1j2d1,L1j
L1j2d2,L1j
L1j2d3,L1j
L1j2e,L1j
L1j2f1,L1j
L1j2f2,L1j
L1j2g1,L1j
L1j2g2,L1j
L1j2g3a,L1j
L1j2g3b,L1j
L2a,L2a
L2b1,L2b
L2b2,L2b
L2b3a,L2b
L2b3b,L2b
L2b4,L2b
L2b5a,L2b
L2b5b1,L2b
L2b5b2,L2b
L2b5c1,L2b
L2b5c2,L2b
L2b5d1,L2b
L2b5d2a,L2b
L2b5d2b,L2b
L2b5d2c,L2b
L2b5d3,L2b
L2b5d4,L2b
L2c1,L2c
L2c2,L2c
L2c3,L2c
L2d1,L2d
L2d2,L2d
L2d3a,L2d
L2d3b,L2d
L2d3c,L2d
L2d4a,L2d
L2d4b,L2d
L2d5a,L2d
L2d5b,L2d
L2d5c1,L2d
L2d5c2,L2d
L2d6,L2d
L2d7,L2d
L2d8,L2d
L2d9a,L2d
L2d9b,L2d
L2d10a,L2d
L2d10b,L2d
L2e,L2e
L2f1,L2f
L2f2a,L2f
L2f2b,L2f
L2f3a,L2f
L2f3b,L2f
L2g1,L2g
L2g2a,L2g
L2g2b,L2g
L2g3a,L2g
L2g3b,L2g
L2g3c,L2g
L2g3d,L2g
L2g3e1,L2g
L2g3e2a,L2g
L2g3e2b,L2g
L2g4a,L2g
L2g4b1,L2g
L2g4b2,L2g
L2g4b3,L2g
