sequence_name,haplotype,continuous_traits,discrete_traits
Wuhan-Hu-1/2019,H1,2,China
DP0005,H2,53,DP
DP0027,H3,53,DP
DP0037,H4,53,DP
DP0058,H5,53,DP
DP0059,H6,53,DP
DP0065,H7,53,DP
DP0077,H8,53,DP
DP0078,H6,53,DP
DP0104,H6,53,DP
DP0107,H6,53,DP
DP0121,H6,53,DP
DP0133,H6,53,DP
DP0134,H6,53,DP
DP0152,H9,53,DP
DP0158,H10,53,DP
DP0184,H6,53,DP
DP0190,H11,53,DP
DP0191,H12,53,DP
DP0196,H13,53,DP
DP0200,H14,53,DP
DP0236,H15,54,DP
DP0274,H6,54,DP
DP0278,H16,54,DP
DP0286,H17,54,DP
DP0287,H18,54,DP
DP0289,H6,54,DP
DP0290,H19,54,DP
DP0294,H6,54,DP
DP0311,H8,54,DP
DP0319,H6,54,DP
DP0328,H6,54,DP
DP0344,H6,54,DP
DP0346,H6,54,DP
DP0357,H17,54,DP
DP0361,H20,54,DP
DP0438,H6,54,DP
DP0457,H21,54,DP
DP0462,H2,54,DP
DP0464,H2,54,DP
DP0476,H22,54,DP
DP0481,H23,54,DP
DP0482,H6,54,DP
DP0543,H24,55,DP
DP0544,H24,55,DP
DP0568,H6,55,DP
DP0588,H17,55,DP
DP0644,H6,55,DP
DP0645,H25,55,DP
DP0654,H26,55,DP
DP0687,H27,55,DP
DP0690,H28,55,DP
DP0697,H2,55,DP
DP0699,H6,55,DP
DP0700,H6,55,DP
DP0703,H2,55,DP
DP0724,H29,55,DP
DP0743,H30,55,DP
DP0752,H31,55,DP
DP0763,H6,55,DP
DP0764,H2,55,DP
DP0765,H32,55,DP
DP0779,H33,55,DP
DP0785,H6,55,DP
DP0786,H6,55,DP
DP0802,H6,55,DP
DP0803,H34,55,DP
DP0804,H6,55,DP
DP0827,H6,55,DP
DP0880,H35,55,DP
DP0890,H6,55,DP
Wuhan/IVDC-HB-01/2019,H1,6,China
Wuhan/IVDC-HB-04/2020,H36,8,China
Wuhan/IVDC-HB-05/2019,H37,6,China
Wuhan/IPBCAMS-WH-01/2019,H38,0,China
Wuhan/WIV04/2019,H1,6,China
Wuhan/WIV02/2019,H39,6,China
Wuhan/WIV05/2019,H40,6,China
Wuhan/WIV06/2019,H1,6,China
Wuhan/WIV07/2019,H41,6,China
Wuhan/HBCDC-HB-01/2019,H42,6,China
Wuhan/IPBCAMS-WH-05/2020,H43,8,China
Wuhan/IPBCAMS-WH-04/2019,H1,6,China
Wuhan/IPBCAMS-WH-03/2019,H44,6,China
Wuhan/IPBCAMS-WH-02/2019,H45,6,China
Guangdong/20SF012/2020,H46,21,China
Guangdong/20SF013/2020,H46,22,China
Guangdong/20SF014/2020,H47,22,China
Guangdong/20SF025/2020,H46,22,China
Guangdong/20SF028/2020,H48,24,China
Guangdong/20SF040/2020,H48,25,China
Thailand/61/2020,H1,15,other Asia
Thailand/74/2020,H1,20,other Asia
Zhejiang/WZ-01/2020,H49,23,China
