Wuhan-Hu-1/2019;China;H1
DP0005;DP;H2
DP0027;DP;H3
DP0037;DP;H4
DP0058;DP;H5
DP0059;DP;H6
DP0065;DP;H7
DP0077;DP;H8
DP0078;DP;H6
DP0104;DP;H6
DP0107;DP;H6
DP0121;DP;H6
DP0133;DP;H6
DP0134;DP;H6
DP0152;DP;H9
DP0158;DP;H10
DP0184;DP;H6
DP0190;DP;H11
DP0191;DP;H12
DP0196;DP;H13
DP0200;DP;H14
DP0236;DP;H15
DP0274;DP;H6
DP0278;DP;H16
DP0286;DP;H17
DP0287;DP;H18
DP0289;DP;H6
DP0290;DP;H19
DP0294;DP;H6
DP0311;DP;H8
DP0319;DP;H6
DP0328;DP;H6
DP0344;DP;H6
DP0346;DP;H6
DP0357;DP;H17
DP0361;DP;H20
DP0438;DP;H6
DP0457;DP;H21
DP0462;DP;H2
DP0464;DP;H2
DP0476;DP;H22
DP0481;DP;H23
DP0482;DP;H6
DP0543;DP;H24
DP0544;DP;H24
DP0568;DP;H6
DP0588;DP;H17
DP0644;DP;H6
DP0645;DP;H25
DP0654;DP;H26
DP0687;DP;H27
DP0690;DP;H28
DP0697;DP;H2
DP0699;DP;H6
DP0700;DP;H6
DP0703;DP;H2
DP0724;DP;H29
DP0743;DP;H30
DP0752;DP;H31
DP0763;DP;H6
DP0764;DP;H2
DP0765;DP;H32
DP0779;DP;H33
DP0785;DP;H6
DP0786;DP;H6
DP0802;DP;H6
DP0803;DP;H34
DP0804;DP;H6
DP0827;DP;H6
DP0880;DP;H35
DP0890;DP;H6
Wuhan/IVDC-HB-01/2019;China;H1
Wuhan/IVDC-HB-04/2020;China;H36
Wuhan/IVDC-HB-05/2019;China;H37
Wuhan/IPBCAMS-WH-01/2019;China;H38
Wuhan/WIV04/2019;China;H1
Wuhan/WIV02/2019;China;H39
Wuhan/WIV05/2019;China;H40
Wuhan/WIV06/2019;China;H1
Wuhan/WIV07/2019;China;H41
Wuhan/HBCDC-HB-01/2019;China;H42
Wuhan/IPBCAMS-WH-05/2020;China;H43
Wuhan/IPBCAMS-WH-04/2019;China;H1
Wuhan/IPBCAMS-WH-03/2019;China;H44
Wuhan/IPBCAMS-WH-02/2019;China;H45
Guangdong/20SF012/2020;China;H46
Guangdong/20SF013/2020;China;H46
Guangdong/20SF014/2020;China;H47
Guangdong/20SF025/2020;China;H46
Guangdong/20SF028/2020;China;H48
Guangdong/20SF040/2020;China;H48
Thailand/61/2020;other Asia;H1
Thailand/74/2020;other Asia;H1
Zhejiang/WZ-01/2020;China;H49
Zhejiang/WZ-02/2020;China;H1
USA/WA1/2020;North America;H50
Shenzhen/HKU-SZ-005/2020;China;H51
Shenzhen/HKU-SZ-002/2020;China;H46
Taiwan/2/2020;other Asia;H52
USA/CA1/2020;North America;H53
USA/CA2/2020;North America;H54
USA/AZ1/2020;North America;H55
Guangdong/20SF174/2020;China;H48
Guangzhou/20SF206/2020;China;H56
Foshan/20SF207/2020;China;H57
Foshan/20SF210/2020;China;H58
Foshan/20SF211/2020;China;H58
Guangdong/20SF201/2020;China;H1
Shenzhen/SZTH-002/2020;China;H46
Shenzhen/SZTH-003/2020;China;H59
Shenzhen/SZTH-004/2020;China;H60
France/IDF0372/2020;Europe;H61
France/IDF0373/2020;Europe;H61
Wuhan/WHU01/2020;China;H1
Wuhan/WHU02/2020;China;H1
Wuhan/WH01/2019;China;H62
Wuhan/WH03/2020;China;H1
